"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
13754,37,14,13.3,31,34.9,32.8,"Pass","FirstHalf","Successful","Manuel Neuer",208
13754,37,77,20,67.3,NA,NA,"KeeperSweeper","SecondHalf","Successful","Manuel Neuer",717
13754,37,90,12.2,47.2,33.7,10.3,"Pass","SecondHalf","Successful","Manuel Neuer",826
13754,37,57,31.2,48.9,44.8,94,"Pass","SecondHalf","Successful","Manuel Neuer",559
13754,37,0,9,42.7,12.9,15.1,"Pass","FirstHalf","Successful","Manuel Neuer",10
13754,37,57,25.1,58.3,65.8,36.6,"Pass","SecondHalf","Unsuccessful","Manuel Neuer",562
13754,37,54,2.2,48.1,NA,NA,"Save","SecondHalf","Successful","Manuel Neuer",541
13754,37,33,6.2,73.6,58.8,68.1,"Pass","FirstHalf","Unsuccessful","Manuel Neuer",374
13754,37,54,7.3,47.1,63.6,67,"Pass","SecondHalf","Unsuccessful","Manuel Neuer",543
13754,37,64,21.1,71.7,29.1,35.1,"Pass","SecondHalf","Successful","Manuel Neuer",596
13754,37,8,2.6,44.6,13.1,44.8,"Pass","FirstHalf","Successful","Manuel Neuer",122
13754,37,8,7.4,49.3,36.3,30.1,"Pass","FirstHalf","Successful","Manuel Neuer",131
13754,37,70,31.9,55.6,66.3,64.9,"Pass","SecondHalf","Unsuccessful","Manuel Neuer",647
13754,37,77,31.1,78.3,NA,NA,"BallRecovery","SecondHalf","Successful","Manuel Neuer",718
13754,37,0,28.6,39,65.9,17.5,"Pass","FirstHalf","Successful","Manuel Neuer",4
13754,37,73,22.2,44.4,25.2,56.8,"Pass","SecondHalf","Successful","Manuel Neuer",670
13754,37,51,5.4,55.2,14.8,86.8,"Pass","SecondHalf","Successful","Manuel Neuer",523
13754,37,59,3,47.8,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Manuel Neuer",566
13754,37,48,11.4,51.1,56.9,10.2,"Pass","SecondHalf","Successful","Manuel Neuer",499
13754,37,46,9,47.7,31.8,2.2,"Pass","SecondHalf","Successful","Manuel Neuer",486
13754,37,27,10.5,53.2,19.2,85.2,"Pass","FirstHalf","Successful","Manuel Neuer",304
13754,37,48,4.5,50.2,NA,NA,"KeeperPickup","SecondHalf","Successful","Manuel Neuer",498
13754,37,75,32,39.1,NA,NA,"Error","SecondHalf","Successful","Manuel Neuer",711
