"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
100008,24,85,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Victor Lindelöf",688
100008,24,87,60.9,87.6,73.9,95.1,"Pass","SecondHalf","Successful","Victor Lindelöf",705
100008,24,91,8.9,75.6,46.4,71.8,"Pass","SecondHalf","Successful","Victor Lindelöf",740
100008,24,89,51.8,52,56.7,62.8,"Pass","SecondHalf","Unsuccessful","Victor Lindelöf",719
100008,24,93,65.9,63.3,72.3,67.8,"Pass","SecondHalf","Successful","Victor Lindelöf",752
102248,24,66,4,52.5,NA,NA,"KeeperPickup","SecondHalf","Successful","Emiliano Martínez",538
102248,24,38,13,43.3,NA,NA,"KeeperPickup","FirstHalf","Successful","Emiliano Martínez",290
102248,24,43,2.9,50.4,NA,NA,"Save","FirstHalf","Successful","Emiliano Martínez",321
102248,24,75,7.4,58.8,NA,NA,"Foul","SecondHalf","Successful","Emiliano Martínez",601
102248,24,41,1.8,54,NA,NA,"Save","FirstHalf","Successful","Emiliano Martínez",308
102248,24,3,7.5,57,26,91.8,"Pass","FirstHalf","Successful","Emiliano Martínez",23
102248,24,75,8.2,53.1,NA,NA,"KeeperPickup","SecondHalf","Successful","Emiliano Martínez",600
102248,24,45,23.9,51.9,74.6,56.8,"Pass","SecondHalf","Unsuccessful","Emiliano Martínez",363
102248,24,25,46.5,64.9,71.7,25.6,"Pass","FirstHalf","Successful","Emiliano Martínez",220
102248,24,47,3.7,47.2,39,51.5,"Pass","SecondHalf","Unsuccessful","Emiliano Martínez",373
102248,24,43,2.9,50.4,NA,NA,"KeeperPickup","FirstHalf","Successful","Emiliano Martínez",322
102248,24,42,9.3,52.1,70.5,96.5,"Pass","FirstHalf","Successful","Emiliano Martínez",311
102248,24,8,9.9,51,33.1,72.3,"Pass","FirstHalf","Successful","Emiliano Martínez",83
102248,24,43,7.2,51,61.9,26.4,"Pass","FirstHalf","Successful","Emiliano Martínez",325
102248,24,14,4.7,48.3,4.3,60.9,"Pass","FirstHalf","Successful","Emiliano Martínez",139
102248,24,88,37.4,38.8,88.6,16.9,"Pass","SecondHalf","Unsuccessful","Emiliano Martínez",713
102248,24,3,13.6,50.4,20.1,19.3,"Pass","FirstHalf","Successful","Emiliano Martínez",21
102248,24,41,1.8,54,NA,NA,"KeeperPickup","FirstHalf","Successful","Emiliano Martínez",309
102248,24,21,13.2,65.7,73.4,71.1,"Pass","FirstHalf","Unsuccessful","Emiliano Martínez",200
102248,24,71,4.5,46.2,54.3,57.9,"Pass","SecondHalf","Unsuccessful","Emiliano Martínez",580
102248,24,70,7.3,48.9,53,2.4,"Pass","SecondHalf","Successful","Emiliano Martínez",571
102248,24,53,11.8,53.1,24.8,92.5,"Pass","SecondHalf","Successful","Emiliano Martínez",410
102248,24,65,3,60.7,31.2,70.6,"Pass","SecondHalf","Successful","Emiliano Martínez",584
102248,24,75,19.3,48.6,30,34.8,"Pass","SecondHalf","Successful","Emiliano Martínez",594
102248,24,8,12.1,51.9,65.1,39.9,"Pass","FirstHalf","Unsuccessful","Emiliano Martínez",88
102248,24,11,7.3,64.5,46.6,52.9,"Pass","FirstHalf","Successful","Emiliano Martínez",106
102248,24,13,3.8,52,3.7,59.4,"Pass","FirstHalf","Successful","Emiliano Martínez",127
102248,24,47,2.2,44.7,NA,NA,"Save","SecondHalf","Successful","Emiliano Martínez",370
102248,24,35,9.5,50.1,60.8,31.9,"Pass","FirstHalf","Unsuccessful","Emiliano Martínez",259
102248,24,93,5.3,38.7,62.9,39.6,"Pass","SecondHalf","Unsuccessful","Emiliano Martínez",744
102248,24,9,4.6,51.5,54.4,51.1,"Pass","FirstHalf","Unsuccessful","Emiliano Martínez",91
102248,24,66,4,52.5,NA,NA,"Save","SecondHalf","Successful","Emiliano Martínez",537
102248,24,91,5.1,51.4,7.9,81,"Pass","SecondHalf","Successful","Emiliano Martínez",739
102248,24,66,8.5,54.2,9.5,88.7,"Pass","SecondHalf","Successful","Emiliano Martínez",540
102248,24,81,28.8,25,NA,NA,"KeeperSweeper","SecondHalf","Successful","Emiliano Martínez",666
102248,24,7,8.7,58.3,12.6,94.9,"Pass","FirstHalf","Successful","Emiliano Martínez",72
102248,24,5,4.3,48.6,2.3,65.7,"Pass","FirstHalf","Successful","Emiliano Martínez",47
