"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
89925,24,81,14.3,90.8,NA,NA,"TakeOn","SecondHalf","Unsuccessful","Lucas Digne",654
89925,24,90,3,84.1,10.9,94.1,"Pass","SecondHalf","Successful","Lucas Digne",711
89925,24,86,21.6,89.3,28.4,76,"Pass","SecondHalf","Successful","Lucas Digne",681
89925,24,90,3.8,91.1,24.5,100,"Pass","SecondHalf","Unsuccessful","Lucas Digne",714
89925,24,87,20.3,100,38.9,94.4,"Pass","SecondHalf","Unsuccessful","Lucas Digne",687
89925,24,90,7.2,57.5,14.9,73,"Clearance","SecondHalf","Successful","Lucas Digne",708
89925,24,74,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Lucas Digne",594
89925,24,81,69.9,75.7,78.7,85.3,"Pass","SecondHalf","Successful","Lucas Digne",649
89925,24,93,15.2,90.5,29.7,89.1,"Pass","SecondHalf","Successful","Lucas Digne",731
89925,24,93,39,94.4,NA,NA,"Tackle","SecondHalf","Successful","Lucas Digne",727
100008,24,49,34.8,70.5,39.8,89.4,"Pass","FirstHalf","Successful","Victor Lindelöf",356
100008,24,43,45.9,74.2,NA,NA,"Interception","FirstHalf","Successful","Victor Lindelöf",319
100008,24,21,5.2,51,1.3,40.9,"Clearance","FirstHalf","Successful","Victor Lindelöf",193
100008,24,47,29.8,68.8,33.4,89.1,"Pass","FirstHalf","Successful","Victor Lindelöf",340
100008,24,67,11,80.8,29.3,82.8,"Pass","SecondHalf","Unsuccessful","Victor Lindelöf",548
100008,24,56,31.7,59.7,38.5,67.5,"Pass","SecondHalf","Successful","Victor Lindelöf",482
100008,24,60,31.1,72.2,87.8,81.2,"Pass","SecondHalf","Unsuccessful","Victor Lindelöf",506
100008,24,67,3.8,58.8,4.3,47.6,"Pass","SecondHalf","Successful","Victor Lindelöf",545
100008,24,1,19.8,75,23.8,95.9,"Pass","FirstHalf","Successful","Victor Lindelöf",18
100008,24,15,5.1,59.3,5,49.1,"Pass","FirstHalf","Successful","Victor Lindelöf",141
100008,24,27,28,74.8,35,73.2,"Pass","FirstHalf","Successful","Victor Lindelöf",216
100008,24,5,31.6,72.7,NA,NA,"BallRecovery","FirstHalf","Successful","Victor Lindelöf",61
100008,24,5,35.7,71.2,40.5,65.7,"Pass","FirstHalf","Successful","Victor Lindelöf",53
100008,24,56,38.2,66.7,43.2,86.3,"Pass","SecondHalf","Successful","Victor Lindelöf",485
100008,24,73,31.3,62.4,NA,NA,"Foul","SecondHalf","Unsuccessful","Victor Lindelöf",589
100008,24,52,1.4,88.8,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Victor Lindelöf",447
100008,24,59,4.9,59.9,5.3,50.6,"Pass","SecondHalf","Successful","Victor Lindelöf",502
100008,24,49,3.8,59.1,4.5,47.5,"Pass","SecondHalf","Successful","Victor Lindelöf",400
100008,24,56,33.8,55.5,33.4,28,"Pass","SecondHalf","Successful","Victor Lindelöf",487
