"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73798,52,36,6.4,47.8,12,25.9,"Pass","FirstHalf","Successful","Thibaut Courtois",469
73798,52,71,28.6,52.3,44.9,97.2,"Pass","SecondHalf","Successful","Thibaut Courtois",807
73798,52,31,14.1,93.7,69.2,56.8,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",414
73798,52,13,5.9,43.6,15.7,43.9,"Pass","FirstHalf","Successful","Thibaut Courtois",186
73798,52,20,8.8,45,9.5,27,"Pass","FirstHalf","Successful","Thibaut Courtois",273
73798,52,17,8.3,46,12.9,13.2,"Pass","FirstHalf","Successful","Thibaut Courtois",245
73798,52,7,5.4,48.1,13.1,18.7,"Pass","FirstHalf","Successful","Thibaut Courtois",109
73798,52,41,4.3,44.5,10.8,9.7,"Pass","FirstHalf","Successful","Thibaut Courtois",523
73798,52,12,28.3,51.4,34.6,53.8,"Pass","FirstHalf","Successful","Thibaut Courtois",172
73798,52,90,2.2,51.6,16.9,37,"Pass","SecondHalf","Successful","Thibaut Courtois",1022
73798,52,83,22.3,20.8,NA,NA,"KeeperSweeper","SecondHalf","Successful","Thibaut Courtois",946
73798,52,78,7.7,49.6,10,24.4,"Pass","SecondHalf","Successful","Thibaut Courtois",875
73798,52,36,1.4,51.3,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",463
73798,52,73,8.4,51.9,15.9,43.3,"Pass","SecondHalf","Successful","Thibaut Courtois",819
73798,52,20,12.1,59.3,19.8,66.4,"Pass","FirstHalf","Successful","Thibaut Courtois",269
73798,52,85,4.5,51.6,11.4,34.2,"Pass","SecondHalf","Successful","Thibaut Courtois",964
73798,52,48,11.9,45,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Thibaut Courtois",604
73798,52,48,0.8,47.7,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",603
73798,52,7,7.4,33.6,12,34.9,"Pass","FirstHalf","Successful","Thibaut Courtois",102
73798,52,80,22.7,44.1,30,23.5,"Pass","SecondHalf","Successful","Thibaut Courtois",915
73798,52,36,10,51.6,10.1,74.5,"Pass","FirstHalf","Successful","Thibaut Courtois",465
73798,52,52,18.2,50.4,21.6,21.3,"Pass","SecondHalf","Successful","Thibaut Courtois",658
73798,52,10,14.2,53.2,24.4,12.3,"Pass","FirstHalf","Successful","Thibaut Courtois",138
73798,52,82,11.3,52.3,21.9,54.3,"Pass","SecondHalf","Successful","Thibaut Courtois",937
73798,52,46,10.4,56.2,62.3,56.4,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",569
73798,52,14,4.9,49.6,6.1,37.3,"Pass","FirstHalf","Successful","Thibaut Courtois",200
73798,52,17,15.2,46.8,19.7,62.1,"Pass","FirstHalf","Successful","Thibaut Courtois",241
73798,52,34,3,55.2,37.1,10.5,"Pass","FirstHalf","Successful","Thibaut Courtois",442
73798,52,14,3.3,54.4,39.1,96,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",212
73798,52,14,7.9,52.9,64.5,76.6,"Pass","FirstHalf","Successful","Thibaut Courtois",202
73798,52,7,12.2,52,14.7,23.4,"Pass","FirstHalf","Successful","Thibaut Courtois",107
73798,52,83,22.3,20.8,26.3,0,"Clearance","SecondHalf","Successful","Thibaut Courtois",947
73798,52,20,18.6,49,40.1,52.2,"Pass","FirstHalf","Successful","Thibaut Courtois",276
73798,52,69,18.2,50.8,22.7,75.7,"Pass","SecondHalf","Successful","Thibaut Courtois",786
73798,52,24,3.3,46.3,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",337
73798,52,90,2.8,52.5,21.4,44.2,"Pass","SecondHalf","Successful","Thibaut Courtois",1018
73798,52,69,24.9,49.6,24.7,21.4,"Pass","SecondHalf","Successful","Thibaut Courtois",788
73798,52,67,26.9,53.2,26,39,"Pass","SecondHalf","Successful","Thibaut Courtois",772
73798,52,91,7.1,55.5,20.3,20.7,"Pass","SecondHalf","Successful","Thibaut Courtois",1036
73798,52,91,9.3,57.9,21.1,60.4,"Pass","SecondHalf","Successful","Thibaut Courtois",1033
73798,52,18,8.2,54.1,46.1,83.7,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",250
73798,52,36,1.4,51.3,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",464
73798,52,2,13.8,35.2,14.8,8.5,"Pass","FirstHalf","Successful","Thibaut Courtois",46
73798,52,86,24.8,50.4,26,24,"Pass","SecondHalf","Successful","Thibaut Courtois",968
73798,52,77,3.6,44.7,7.9,27.7,"Pass","SecondHalf","Successful","Thibaut Courtois",864
73798,52,10,14.8,50.1,21.1,32.5,"Pass","FirstHalf","Successful","Thibaut Courtois",151
73798,52,28,15.6,53.5,30.4,57.9,"Pass","FirstHalf","Successful","Thibaut Courtois",390
73798,52,48,3.4,49.2,13.8,53.2,"Pass","SecondHalf","Successful","Thibaut Courtois",610
73798,52,86,8.5,58,46.6,56.5,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",984
73798,52,20,3.4,49.2,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",268
73798,52,62,9.5,41.4,13.3,69.6,"Pass","SecondHalf","Successful","Thibaut Courtois",732
73798,52,85,20,48.7,23.8,32.8,"Pass","SecondHalf","Successful","Thibaut Courtois",966
73798,52,72,5,47.2,2.5,12,"Pass","SecondHalf","Successful","Thibaut Courtois",814
73798,52,91,2.6,68.5,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",1031
