"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
31991,1241,8,30,20.5,44,15.4,"Pass","FirstHalf","Unsuccessful","Tomás Rincón",72
31991,1241,61,44.1,46.3,48.1,24.5,"Pass","SecondHalf","Successful","Tomás Rincón",539
31991,1241,31,72.1,35,74.8,48.5,"Pass","FirstHalf","Successful","Tomás Rincón",287
31991,1241,3,59.4,63.7,NA,NA,"Tackle","FirstHalf","Unsuccessful","Tomás Rincón",48
31991,1241,16,19,85.4,NA,NA,"BallRecovery","FirstHalf","Successful","Tomás Rincón",124
31991,1241,51,52.5,72,51.9,40.4,"Pass","SecondHalf","Successful","Tomás Rincón",493
31991,1241,48,55.4,31.6,66.1,29.8,"Pass","SecondHalf","Successful","Tomás Rincón",452
31991,1241,8,24.1,62.6,7.3,46.9,"Pass","FirstHalf","Successful","Tomás Rincón",68
31991,1241,30,67.1,37.4,56.7,30.8,"Pass","FirstHalf","Successful","Tomás Rincón",272
31991,1241,58,25.7,51.9,24.7,20.9,"Pass","SecondHalf","Successful","Tomás Rincón",528
31991,1241,61,44.1,46.3,NA,NA,"BallRecovery","SecondHalf","Successful","Tomás Rincón",538
31991,1241,84,24,61.5,19.6,65.1,"Pass","SecondHalf","Successful","Tomás Rincón",716
31991,1241,30,62.5,12.7,74.7,3.4,"Pass","FirstHalf","Successful","Tomás Rincón",278
31991,1241,33,64,24.1,71,19.9,"Pass","FirstHalf","Successful","Tomás Rincón",324
31991,1241,16,4.4,82.7,NA,NA,"BallRecovery","FirstHalf","Successful","Tomás Rincón",129
31991,1241,16,21.2,86.2,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Tomás Rincón",125
31991,1241,31,68.4,14.8,67.3,27.2,"Pass","FirstHalf","Successful","Tomás Rincón",280
31991,1241,54,8.1,92.9,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Tomás Rincón",516
31991,1241,88,65.3,12.2,54.9,45.2,"Pass","SecondHalf","Successful","Tomás Rincón",748
31991,1241,3,41.8,93.8,NA,NA,"Dispossessed","FirstHalf","Successful","Tomás Rincón",25
31991,1241,50,60.8,45.1,65.8,64.8,"Pass","SecondHalf","Successful","Tomás Rincón",487
31991,1241,1,31.4,71,NA,NA,"BallTouch","FirstHalf","Successful","Tomás Rincón",16
31991,1241,26,19.5,6.7,72.9,36.4,"Pass","FirstHalf","Unsuccessful","Tomás Rincón",229
31991,1241,46,30.6,20.8,32.6,40,"Pass","SecondHalf","Successful","Tomás Rincón",434
31991,1241,20,51.9,68.4,60.4,38.6,"Pass","FirstHalf","Successful","Tomás Rincón",176
31991,1241,74,35,35.5,46.2,73.7,"Pass","SecondHalf","Successful","Tomás Rincón",641
31991,1241,4,45.8,66.5,63.4,38.2,"Pass","FirstHalf","Successful","Tomás Rincón",34
