"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
77636,1221,74,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Willian José",767
77636,1221,52,86.2,47.4,79.2,49.5,"Pass","SecondHalf","Successful","Willian José",597
77636,1221,13,73.1,73.6,77.5,81.4,"Pass","FirstHalf","Successful","Willian José",182
77636,1221,58,36,37.3,NA,NA,"BallRecovery","SecondHalf","Successful","Willian José",642
77636,1221,34,91.7,53.2,NA,NA,"SavedShot","FirstHalf","Successful","Willian José",385
77636,1221,47,91.8,50.1,NA,NA,"SavedShot","FirstHalf","Successful","Willian José",505
77636,1221,42,7.9,40.5,24.5,44.1,"Clearance","FirstHalf","Successful","Willian José",438
77636,1221,13,73.1,73.6,NA,NA,"BallRecovery","FirstHalf","Successful","Willian José",181
77636,1221,21,93.7,24.6,86.2,24.6,"Pass","FirstHalf","Successful","Willian José",280
77636,1221,4,58.1,16.9,NA,NA,"BallRecovery","FirstHalf","Successful","Willian José",62
77636,1221,67,97.6,14.5,97,45.1,"Pass","SecondHalf","Unsuccessful","Willian José",744
77636,1221,19,75.3,62.8,81.6,49.2,"Pass","FirstHalf","Unsuccessful","Willian José",260
77636,1221,51,8.3,38.8,24.5,34.3,"Clearance","SecondHalf","Successful","Willian José",574
77636,1221,4,79.7,27.7,68.3,24.1,"Pass","FirstHalf","Successful","Willian José",54
77636,1221,26,88.6,52.8,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Willian José",334
77636,1221,50,88.5,50,NA,NA,"SavedShot","FirstHalf","Successful","Willian José",506
77636,1221,46,47.9,36.3,61.9,87,"Pass","FirstHalf","Successful","Willian José",486
77636,1221,67,60,77.8,61.5,94.5,"Pass","SecondHalf","Successful","Willian José",735
77636,1221,47,81.1,51.1,94.2,67.5,"Pass","FirstHalf","Successful","Willian José",500
77636,1221,67,77.2,13.8,83.7,7.9,"Pass","SecondHalf","Successful","Willian José",742
77636,1221,4,58.1,16.9,55.4,5.4,"Pass","FirstHalf","Successful","Willian José",63
77636,1221,61,90.6,65.1,79.4,63.7,"Pass","SecondHalf","Successful","Willian José",680
77636,1221,1,75.8,25.3,89.6,27,"Pass","FirstHalf","Unsuccessful","Willian José",20
77636,1221,4,86.8,41.8,89.7,31.9,"Pass","FirstHalf","Successful","Willian José",70
77636,1221,58,32.2,42.6,36.1,54.1,"Pass","SecondHalf","Successful","Willian José",643
77636,1221,21,85.5,28.8,89.2,30.1,"Pass","FirstHalf","Unsuccessful","Willian José",282
77636,1221,5,74.2,39.7,78.1,9.9,"Pass","FirstHalf","Unsuccessful","Willian José",82
77636,1221,12,80.3,50.8,NA,NA,"Dispossessed","FirstHalf","Successful","Willian José",179
77636,1221,28,71.4,42.3,65,51.7,"Pass","FirstHalf","Unsuccessful","Willian José",355
77636,1221,25,46.1,63.4,53.2,52,"Pass","FirstHalf","Successful","Willian José",324
77636,1221,12,78.7,53.4,72.2,49,"Pass","FirstHalf","Successful","Willian José",170
77636,1221,9,80.8,52.9,72.9,51.4,"Pass","FirstHalf","Successful","Willian José",126
77636,1221,49,87.1,37.3,NA,NA,"Dispossessed","SecondHalf","Successful","Willian José",566
77636,1221,10,70.1,29.7,67.6,24.3,"Pass","FirstHalf","Successful","Willian José",149
77636,1221,65,42.2,58.9,85.6,16.3,"Pass","SecondHalf","Successful","Willian José",725
77636,1221,7,99.6,61.8,NA,NA,"MissedShots","FirstHalf","Successful","Willian José",101
77636,1221,46,81.2,68.8,86.4,96.6,"Pass","SecondHalf","Successful","Willian José",545
77636,1221,21,76.1,42.4,70.9,45,"Pass","FirstHalf","Successful","Willian José",270
88112,1221,9,43.7,0,37.9,21.4,"Pass","FirstHalf","Successful","Santiago Arias",138
88112,1221,27,78.1,12.7,84.8,5.4,"Pass","FirstHalf","Successful","Santiago Arias",345
