"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
29400,65,21,65.2,44.6,51.2,15.5,"Pass","FirstHalf","Successful","Robert Lewandowski",211
29400,65,66,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Robert Lewandowski",759
29400,65,50,71.1,65.2,68.2,59.1,"Pass","SecondHalf","Unsuccessful","Robert Lewandowski",609
29400,65,32,79.1,46.2,NA,NA,"SavedShot","FirstHalf","Successful","Robert Lewandowski",367
29400,65,16,11.2,30.1,NA,NA,"BallRecovery","FirstHalf","Successful","Robert Lewandowski",174
29400,65,16,7.7,49.5,NA,NA,"Aerial","FirstHalf","Unsuccessful","Robert Lewandowski",172
29400,65,57,80.9,51.9,74.4,53,"Pass","SecondHalf","Successful","Robert Lewandowski",671
29400,65,21,67.9,42.2,NA,NA,"BlockedPass","FirstHalf","Successful","Robert Lewandowski",210
29400,65,22,83.9,65,79.3,64.4,"Pass","FirstHalf","Unsuccessful","Robert Lewandowski",232
29400,65,53,37.2,17.1,NA,NA,"BlockedPass","SecondHalf","Successful","Robert Lewandowski",638
29400,65,30,93.4,13.1,NA,NA,"Challenge","FirstHalf","Unsuccessful","Robert Lewandowski",332
29400,65,11,71.2,50.1,71.9,70,"Pass","FirstHalf","Unsuccessful","Robert Lewandowski",124
29400,65,64,80.8,50.3,NA,NA,"Dispossessed","SecondHalf","Successful","Robert Lewandowski",753
29400,65,47,76.5,35.5,77.6,35.5,"Pass","SecondHalf","Unsuccessful","Robert Lewandowski",581
29400,65,1,21.6,20.9,42.8,5.8,"Pass","FirstHalf","Successful","Robert Lewandowski",12
29400,65,44,74,30.2,NA,NA,"Dispossessed","FirstHalf","Successful","Robert Lewandowski",494
29400,65,57,79.4,65.4,NA,NA,"BallRecovery","SecondHalf","Successful","Robert Lewandowski",670
29400,65,20,49.6,50.1,32,61.1,"Pass","FirstHalf","Successful","Robert Lewandowski",196
29400,65,37,79.3,63.1,83.3,82.7,"Pass","FirstHalf","Successful","Robert Lewandowski",405
29400,65,56,41.4,64.2,NA,NA,"Foul","SecondHalf","Unsuccessful","Robert Lewandowski",660
29400,65,36,41.8,31.5,42.1,50.9,"Pass","FirstHalf","Successful","Robert Lewandowski",402
29400,65,44,74.1,31.8,NA,NA,"TakeOn","FirstHalf","Successful","Robert Lewandowski",493
29400,65,8,80.6,47.3,NA,NA,"SavedShot","FirstHalf","Successful","Robert Lewandowski",88
29400,65,35,88.5,50,NA,NA,"MissedShots","FirstHalf","Successful","Robert Lewandowski",394
29400,65,16,11.2,30.1,5.2,12.2,"Pass","FirstHalf","Successful","Robert Lewandowski",175
29400,65,15,61.7,14.9,NA,NA,"BallTouch","FirstHalf","Successful","Robert Lewandowski",162
29400,65,56,44.7,78.2,37.2,72.4,"Pass","SecondHalf","Unsuccessful","Robert Lewandowski",659
29400,65,30,86.6,33.7,79.5,25.6,"Pass","FirstHalf","Successful","Robert Lewandowski",329
29400,65,50,76,26.3,NA,NA,"Foul","SecondHalf","Unsuccessful","Robert Lewandowski",610
29400,65,24,76.9,9.2,66.3,9.8,"Pass","FirstHalf","Successful","Robert Lewandowski",268
29400,65,1,20.7,20.7,NA,NA,"BallRecovery","FirstHalf","Successful","Robert Lewandowski",11
29400,65,8,76.5,64,77.5,69.5,"Pass","FirstHalf","Successful","Robert Lewandowski",92
29400,65,37,91.8,49.5,NA,NA,"SavedShot","FirstHalf","Successful","Robert Lewandowski",416
29400,65,47,75.8,38.6,86.1,51,"Pass","SecondHalf","Unsuccessful","Robert Lewandowski",579
29400,65,49,85.3,15.1,NA,NA,"BlockedPass","FirstHalf","Successful","Robert Lewandowski",530
76662,63,92,1.6,45.1,NA,NA,"Save","SecondHalf","Successful","Jan Oblak",797
76662,63,49,5.3,57.9,53.3,53.5,"Pass","FirstHalf","Unsuccessful","Jan Oblak",340
76662,63,92,4.8,38.3,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Jan Oblak",798
76662,63,81,15,4.5,29.7,0,"Clearance","SecondHalf","Successful","Jan Oblak",668
76662,63,76,2.6,39.9,0,27.4,"Punch","SecondHalf","Successful","Jan Oblak",623
76662,63,25,11.8,58.8,NA,NA,"Challenge","FirstHalf","Unsuccessful","Jan Oblak",188
76662,63,33,4.3,57,40.7,67.1,"Pass","FirstHalf","Unsuccessful","Jan Oblak",233
76662,63,57,5.1,50.7,32.4,14.8,"Pass","SecondHalf","Unsuccessful","Jan Oblak",452
76662,63,3,4.2,48.3,36.2,16.2,"Pass","FirstHalf","Unsuccessful","Jan Oblak",40
76662,63,14,4.9,51.6,54.6,54.9,"Pass","FirstHalf","Successful","Jan Oblak",116
76662,63,48,3.7,53.7,NA,NA,"BallRecovery","SecondHalf","Successful","Jan Oblak",375
76662,63,88,19.8,40.6,27.5,64.3,"Pass","SecondHalf","Successful","Jan Oblak",742
76662,63,81,14.9,5.2,NA,NA,"KeeperSweeper","SecondHalf","Successful","Jan Oblak",667
76662,63,36,4.2,51.4,57.7,95.5,"Pass","FirstHalf","Successful","Jan Oblak",239
76662,63,68,4.6,49.5,18.1,71.5,"Pass","SecondHalf","Successful","Jan Oblak",542
76662,63,76,0,0,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Jan Oblak",624
76662,63,39,15,44.8,62,19.9,"Pass","FirstHalf","Unsuccessful","Jan Oblak",265
76662,63,88,10.4,46,10.7,78.3,"Pass","SecondHalf","Successful","Jan Oblak",737
76662,63,3,12.1,47.1,46.3,70.2,"Pass","FirstHalf","Unsuccessful","Jan Oblak",36
76662,63,3,6.9,51.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Jan Oblak",43
76662,63,3,12.5,51.9,48.9,47.1,"Pass","FirstHalf","Successful","Jan Oblak",45
76662,63,93,4.1,51.5,14.2,63.6,"Pass","SecondHalf","Successful","Jan Oblak",801
76662,63,40,2.6,45.4,NA,NA,"KeeperPickup","FirstHalf","Successful","Jan Oblak",268
76662,63,74,7.5,43.6,28,4.6,"Pass","SecondHalf","Successful","Jan Oblak",604
76662,63,43,8.5,52.3,3.6,70.3,"Pass","FirstHalf","Successful","Jan Oblak",299
76662,63,40,0.8,44.5,NA,NA,"Save","FirstHalf","Successful","Jan Oblak",267
76662,63,70,12.1,49.5,18.5,41.1,"Pass","SecondHalf","Successful","Jan Oblak",566
76662,63,70,7,53.1,NA,NA,"KeeperPickup","SecondHalf","Successful","Jan Oblak",565
76662,63,45,5.2,49.6,58.4,30.3,"Pass","FirstHalf","Successful","Jan Oblak",314
76662,63,38,5,43.6,65,30.9,"Pass","FirstHalf","Unsuccessful","Jan Oblak",256
76662,63,22,3,52.8,11.3,5.7,"Clearance","FirstHalf","Successful","Jan Oblak",174
76662,63,76,3,53.7,NA,NA,"Claim","SecondHalf","Successful","Jan Oblak",625
76662,63,41,3.4,39.9,NA,NA,"BallRecovery","FirstHalf","Successful","Jan Oblak",273
76662,63,35,0,0,NA,NA,"PenaltyFaced","FirstHalf","Unsuccessful","Jan Oblak",237
76662,63,48,3.7,53.7,43,100,"Pass","SecondHalf","Unsuccessful","Jan Oblak",376
76662,63,8,5,49,48.4,48.3,"Pass","FirstHalf","Successful","Jan Oblak",59
76662,63,57,5.1,49.2,52.8,9.6,"Pass","SecondHalf","Unsuccessful","Jan Oblak",457
76662,63,52,5.2,50.5,60.1,35.4,"Pass","SecondHalf","Unsuccessful","Jan Oblak",412
76662,63,1,19.3,50.2,NA,NA,"BallTouch","FirstHalf","Successful","Jan Oblak",21
