"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73379,65,11,9.4,55.2,20.8,24.6,"Pass","FirstHalf","Successful","Wojciech Szczesny",122
73379,65,85,1.4,48.7,27.8,94.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",944
73379,65,25,2.5,46.7,60.1,32.2,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",272
73379,65,45,12.4,34.6,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",511
73379,65,3,16.8,58.1,23.6,82.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",54
73379,65,45,13.5,37.1,20.1,63.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",512
73379,65,63,14,61.4,NA,NA,"BallRecovery","SecondHalf","Successful","Wojciech Szczesny",681
73379,65,24,5.8,32.1,44.9,5.9,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",266
73379,65,24,8.5,52.4,23.8,72.7,"Pass","FirstHalf","Successful","Wojciech Szczesny",262
73379,65,3,12.1,48.8,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",46
73379,65,13,23.1,19.2,27.7,24.7,"Pass","FirstHalf","Successful","Wojciech Szczesny",141
73379,65,86,34.2,61.7,53.2,68.5,"Pass","SecondHalf","Successful","Wojciech Szczesny",954
73379,65,11,5.9,62.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",121
73379,65,31,20.2,57,18.1,86.6,"Pass","FirstHalf","Successful","Wojciech Szczesny",312
73379,65,63,14,61.4,20,36,"Pass","SecondHalf","Successful","Wojciech Szczesny",682
73379,65,12,14.3,54.3,42.5,7,"Pass","FirstHalf","Successful","Wojciech Szczesny",133
73379,65,13,23.6,17.9,NA,NA,"BallRecovery","FirstHalf","Successful","Wojciech Szczesny",140
73379,65,1,5.6,49.1,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",18
73379,65,52,0,0,NA,NA,"PenaltyFaced","SecondHalf","Unsuccessful","Wojciech Szczesny",573
73379,65,5,8.3,30.4,24.6,64.5,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",76
73379,65,15,10.1,52.7,11.7,27.6,"Pass","FirstHalf","Successful","Wojciech Szczesny",176
73379,65,3,9.5,61.5,37.4,6.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",57
73379,65,64,2.7,49.9,26.9,68.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",690
73379,65,1,13.2,52.5,31.2,71.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",19
73379,65,54,14,53.3,20.2,67.6,"Pass","SecondHalf","Successful","Wojciech Szczesny",586
73379,65,13,25.4,56.4,37.4,22.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",149
73379,65,18,4.3,44.8,11,20.7,"Pass","FirstHalf","Successful","Wojciech Szczesny",199
73379,65,63,6.7,52.7,6.7,20.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",685
73379,65,46,20.1,63.4,23.6,86.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",503
73379,65,48,3.7,68.1,38.8,72,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",559
73379,65,72,13.5,46,27.1,56.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",763
73379,65,0,0.2,44,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Wojciech Szczesny",14
73379,65,37,14.9,39.4,33.7,26.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",372
73379,65,27,3.3,48.7,34.1,67.6,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",288
73379,65,61,9.8,61.1,47.5,84.4,"Pass","SecondHalf","Unsuccessful","Wojciech Szczesny",665
73379,65,21,6.4,47.2,33.9,4.7,"Pass","FirstHalf","Successful","Wojciech Szczesny",231
