eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,1243,Athletico Paranaense,0,FirstHalf,Start,Successful,0,0,,
2,,,1239,Flamengo,0,FirstHalf,Start,Successful,0,0,,
3,318475,Pedro,1239,Flamengo,0,FirstHalf,Pass,Successful,50,50,20.8,58.4
4,303902,Agustín Rossi,1239,Flamengo,0,FirstHalf,Pass,Unsuccessful,23.9,57.5,70.2,100
4,410318,Gastón Benavídez,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,26.3,0,58.6,6.8
6,100995,Alex Sandro,1239,Flamengo,0,FirstHalf,Pass,Successful,39.3,94.1,36.2,81.1
7,355684,Léo Ortiz,1239,Flamengo,0,FirstHalf,Pass,Unsuccessful,36.2,81.1,55.1,93.5
5,410318,Gastón Benavídez,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,43.6,10.5,68.7,16.1
8,146761,Léo Pereira,1239,Flamengo,0,FirstHalf,Pass,Unsuccessful,29.5,85.6,62.5,30.6
6,445159,Léo Derik,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,33.1,83.6,51.7,55
9,355684,Léo Ortiz,1239,Flamengo,0,FirstHalf,Pass,Successful,46.5,42.5,44.7,14.1
10,145385,Guillermo Varela,1239,Flamengo,0,FirstHalf,BallRecovery,Successful,45,14.1,,
11,145385,Guillermo Varela,1239,Flamengo,0,FirstHalf,Pass,Successful,45,14.1,57.8,16.2
12,371036,Jorge Carrascal,1239,Flamengo,0,FirstHalf,BallTouch,Unsuccessful,55.7,13.7,,
7,517830,Felipinho,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,36.9,80.1,38,82.2
417,371036,Jorge Carrascal,1239,Flamengo,0,FirstHalf,BlockedPass,Successful,62,17.8,,
13,319756,Lucas Paquetá,1239,Flamengo,0,FirstHalf,Foul,Successful,44.6,13.2,,
8,517830,Felipinho,1243,Athletico Paranaense,0,FirstHalf,Foul,Unsuccessful,55.4,86.8,,
14,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,44.7,11.9,34,25.8
15,88300,Danilo,1239,Flamengo,1,FirstHalf,Pass,Successful,34.3,25.3,14.4,46.7
16,303902,Agustín Rossi,1239,Flamengo,1,FirstHalf,Pass,Successful,14.4,46.7,24.6,48.7
17,355684,Léo Ortiz,1239,Flamengo,1,FirstHalf,Pass,Successful,31.7,60.9,52.1,76.1
18,381594,Samuel Lino,1239,Flamengo,1,FirstHalf,Pass,Unsuccessful,52.1,76.1,52.3,69.7
9,114096,Jádson,1243,Athletico Paranaense,1,FirstHalf,Interception,Successful,47.7,30.3,,
10,517829,Arthur Dias,1243,Athletico Paranaense,1,FirstHalf,BallRecovery,Successful,54.8,24.4,,
11,517829,Arthur Dias,1243,Athletico Paranaense,1,FirstHalf,Pass,Successful,54.8,24.4,63.1,63.4
12,462994,Bruno Zapelli,1243,Athletico Paranaense,1,FirstHalf,TakeOn,Unsuccessful,68.2,63.3,,
19,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Tackle,Successful,31.8,36.8,,
20,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,BallRecovery,Successful,27.2,28,,
21,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,26.9,24.4,31.7,9.7
22,145385,Guillermo Varela,1239,Flamengo,1,FirstHalf,Pass,Successful,32,9.8,30.6,23.3
23,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,30.6,28.5,25.9,63.9
24,146761,Léo Pereira,1239,Flamengo,1,FirstHalf,Pass,Successful,26.4,67.3,32.6,89
25,100995,Alex Sandro,1239,Flamengo,1,FirstHalf,Pass,Successful,56.7,95.6,60.9,83.5
26,112161,Saúl,1239,Flamengo,1,FirstHalf,Pass,Unsuccessful,60.9,83.5,61.6,83.3
13,517830,Felipinho,1243,Athletico Paranaense,1,FirstHalf,BlockedPass,Successful,38.4,16.7,,
14,410318,Gastón Benavídez,1243,Athletico Paranaense,1,FirstHalf,BallRecovery,Successful,24.4,13.7,,
15,410318,Gastón Benavídez,1243,Athletico Paranaense,1,FirstHalf,Pass,Successful,24.4,13.7,29.2,2.7
16,114096,Jádson,1243,Athletico Paranaense,1,FirstHalf,Pass,Successful,33.4,5.3,43.8,16.3
17,279539,Steven Mendoza,1243,Athletico Paranaense,1,FirstHalf,Pass,Unsuccessful,43.8,16.3,35.6,34.9
27,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,57.7,68.8,68.2,76.1
28,318475,Pedro,1239,Flamengo,1,FirstHalf,BallRecovery,Successful,68.2,76.1,,
29,318475,Pedro,1239,Flamengo,1,FirstHalf,Pass,Successful,65.6,75.9,60,75.1
30,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,60,75.1,66.3,92.6
31,381594,Samuel Lino,1239,Flamengo,1,FirstHalf,Pass,Successful,69.5,90.9,64,85.7
32,319756,Lucas Paquetá,1239,Flamengo,1,FirstHalf,Pass,Successful,64,85.7,68.7,94.4
33,381594,Samuel Lino,1239,Flamengo,2,FirstHalf,Pass,Successful,71.7,95.6,65.9,86.2
34,319756,Lucas Paquetá,1239,Flamengo,2,FirstHalf,Pass,Successful,68.6,74.4,59.9,75.1
35,112161,Saúl,1239,Flamengo,2,FirstHalf,Pass,Successful,59.9,75.1,66.8,95.1
36,100995,Alex Sandro,1239,Flamengo,2,FirstHalf,Pass,Unsuccessful,66.8,95.5,100,87.7
18,517829,Arthur Dias,1243,Athletico Paranaense,2,FirstHalf,ShieldBallOpp,Successful,2.7,11.7,,
20,101675,Santos,1243,Athletico Paranaense,2,FirstHalf,Pass,Unsuccessful,5,49.2,63,84.8
38,145385,Guillermo Varela,1239,Flamengo,2,FirstHalf,Pass,Unsuccessful,37.7,18.8,66.6,45.5
21,114096,Jádson,1243,Athletico Paranaense,2,FirstHalf,Pass,Successful,33.4,70.2,38.3,93
22,445159,Léo Derik,1243,Athletico Paranaense,2,FirstHalf,Pass,Successful,38.3,93,62.3,87.5
24,533161,Kevin Viveros,1243,Athletico Paranaense,2,FirstHalf,Foul,Successful,54.7,86.3,,
39,88300,Danilo,1239,Flamengo,2,FirstHalf,Foul,Unsuccessful,45.3,13.6,,
25,445159,Léo Derik,1243,Athletico Paranaense,3,FirstHalf,Pass,Successful,55.5,82.7,77.6,7.6
26,410318,Gastón Benavídez,1243,Athletico Paranaense,3,FirstHalf,Pass,Successful,77.6,7.6,76.9,29.3
27,279539,Steven Mendoza,1243,Athletico Paranaense,3,FirstHalf,SavedShot,Successful,84.5,27.1,,
40,146761,Léo Pereira,1239,Flamengo,3,FirstHalf,Save,Successful,12,67.9,,
41,146761,Léo Pereira,1239,Flamengo,3,FirstHalf,CornerAwarded,Unsuccessful,13,71.4,,
28,279539,Steven Mendoza,1243,Athletico Paranaense,3,FirstHalf,CornerAwarded,Successful,86.9,28.5,,
29,404979,Lucas Esquivel,1243,Athletico Paranaense,3,FirstHalf,Pass,Successful,99.6,0.9,94.3,29.5
30,279539,Steven Mendoza,1243,Athletico Paranaense,3,FirstHalf,Pass,Successful,94.3,29.5,86.4,40.9
31,410318,Gastón Benavídez,1243,Athletico Paranaense,3,FirstHalf,SavedShot,Successful,86.4,40.9,,
42,371036,Jorge Carrascal,1239,Flamengo,3,FirstHalf,Save,Successful,8.4,58.1,,
43,371036,Jorge Carrascal,1239,Flamengo,3,FirstHalf,CornerAwarded,Unsuccessful,12.1,58.6,,
32,410318,Gastón Benavídez,1243,Athletico Paranaense,3,FirstHalf,CornerAwarded,Successful,88,41.4,,
33,404979,Lucas Esquivel,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,99.5,0.5,95.2,37.4
34,533161,Kevin Viveros,1243,Athletico Paranaense,4,FirstHalf,Pass,Unsuccessful,96.4,36.4,96.6,40.1
44,318475,Pedro,1239,Flamengo,4,FirstHalf,BallTouch,Successful,3.6,59.9,,
45,355684,Léo Ortiz,1239,Flamengo,4,FirstHalf,Clearance,Successful,2.8,60,13.6,93.3
35,404979,Lucas Esquivel,1243,Athletico Paranaense,4,FirstHalf,Pass,Unsuccessful,81.1,9.2,83.5,59.9
46,146761,Léo Pereira,1239,Flamengo,4,FirstHalf,Clearance,Successful,18.3,45.8,43.3,35.5
36,445159,Léo Derik,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,54.1,67,59.6,88.8
37,462994,Bruno Zapelli,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,59.6,88.8,48.6,71.1
38,445159,Léo Derik,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,48.6,71.1,43,30.5
39,114096,Jádson,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,43,30.5,57.8,5.9
40,410318,Gastón Benavídez,1243,Athletico Paranaense,4,FirstHalf,Pass,Successful,57.8,5.9,91,3.9
41,533161,Kevin Viveros,1243,Athletico Paranaense,4,FirstHalf,Pass,Unsuccessful,92.9,5.6,92.3,41.6
47,355684,Léo Ortiz,1239,Flamengo,4,FirstHalf,Clearance,Successful,7.1,60.8,35,95.4
42,114096,Jádson,1243,Athletico Paranaense,4,FirstHalf,Foul,Successful,54.6,5.8,,
48,381594,Samuel Lino,1239,Flamengo,4,FirstHalf,Foul,Unsuccessful,45.4,94.2,,
43,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,Pass,Successful,56,5.9,37.1,16.3
44,517829,Arthur Dias,1243,Athletico Paranaense,5,FirstHalf,Pass,Successful,37.3,16.9,31,48.4
45,477736,Juan Aguirre,1243,Athletico Paranaense,5,FirstHalf,Pass,Successful,31,45.3,56.2,7.6
46,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,Pass,Unsuccessful,56.2,7.6,76.1,21
49,146761,Léo Pereira,1239,Flamengo,5,FirstHalf,BallRecovery,Successful,20.3,80.8,,
50,146761,Léo Pereira,1239,Flamengo,5,FirstHalf,Pass,Successful,20.3,80.8,2.3,68.5
51,303902,Agustín Rossi,1239,Flamengo,5,FirstHalf,Pass,Successful,2.6,75.9,37.6,87.2
54,112161,Saúl,1239,Flamengo,5,FirstHalf,Aerial,Successful,37.6,87.2,,
47,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,Aerial,Unsuccessful,62.4,12.8,,
52,112161,Saúl,1239,Flamengo,5,FirstHalf,Pass,Unsuccessful,37.6,87.2,57.6,89.7
48,477736,Juan Aguirre,1243,Athletico Paranaense,5,FirstHalf,Interception,Successful,42.4,10.3,,
49,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,Pass,Unsuccessful,47.8,8.8,45.6,14.6
53,112161,Saúl,1239,Flamengo,5,FirstHalf,TakeOn,Unsuccessful,54.6,86.5,,
50,517829,Arthur Dias,1243,Athletico Paranaense,5,FirstHalf,Tackle,Successful,45.4,13.6,,
51,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,BallRecovery,Successful,52.8,6.3,,
52,410318,Gastón Benavídez,1243,Athletico Paranaense,5,FirstHalf,Pass,Successful,52.8,6.3,70.3,6.6
53,279539,Steven Mendoza,1243,Athletico Paranaense,5,FirstHalf,Pass,Successful,70.3,8.5,68.7,24.5
55,114096,Jádson,1243,Athletico Paranaense,5,FirstHalf,Foul,Successful,63.7,19.4,,
55,112161,Saúl,1239,Flamengo,5,FirstHalf,Foul,Unsuccessful,36.3,80.5,,
56,462994,Bruno Zapelli,1243,Athletico Paranaense,6,FirstHalf,Pass,Unsuccessful,64.9,11,85.8,47.5
57,146761,Léo Pereira,1239,Flamengo,6,FirstHalf,Foul,Successful,15.6,49.6,,
57,533161,Kevin Viveros,1243,Athletico Paranaense,6,FirstHalf,Foul,Unsuccessful,84.4,50.4,,
58,303902,Agustín Rossi,1239,Flamengo,7,FirstHalf,Pass,Successful,16,45.7,24.1,57.5
59,146761,Léo Pereira,1239,Flamengo,7,FirstHalf,Pass,Successful,25.4,58.7,39.1,96
60,100995,Alex Sandro,1239,Flamengo,7,FirstHalf,Pass,Successful,40.8,92,20.6,74.7
61,146761,Léo Pereira,1239,Flamengo,7,FirstHalf,Pass,Successful,13.8,73.5,10,41.8
62,303902,Agustín Rossi,1239,Flamengo,7,FirstHalf,Pass,Successful,12.4,38,42,75.6
