eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
3,,,1219,Internacional,0,FirstHalf,Start,Successful,0,0,,
2,,,1243,Athletico Paranaense,0,FirstHalf,Start,Successful,0,0,,
4,355714,Alerrandro,1219,Internacional,0,FirstHalf,Pass,Successful,49.8,50.1,29.3,70
5,285541,Juninho,1219,Internacional,0,FirstHalf,Pass,Unsuccessful,29.3,70,74.8,30.7
3,404979,Lucas Esquivel,1243,Athletico Paranaense,0,FirstHalf,Clearance,Successful,15.4,61.4,40.8,84.7
6,383128,Bruno Gomes,1219,Internacional,0,FirstHalf,Pass,Unsuccessful,68.5,5.8,100,17.4
6,101675,Santos,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,3.9,49,11.8,14.9
7,404383,Carlos Terán,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,11.8,14.9,22.3,10.9
8,119542,Gilberto,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,22.3,10.9,9.4,21.8
9,404383,Carlos Terán,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,9.4,21.8,21.9,37.6
10,43369,Luiz Gustavo,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,21.9,37.6,5.9,48.4
11,101675,Santos,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,5.9,48.4,48.9,24.9
8,285541,Juninho,1219,Internacional,0,FirstHalf,Aerial,Successful,51.8,73.3,,
12,604318,Leozinho,1243,Athletico Paranaense,0,FirstHalf,Aerial,Unsuccessful,48.2,26.8,,
9,285541,Juninho,1219,Internacional,0,FirstHalf,Pass,Unsuccessful,53.1,70.6,71.6,72.4
13,404383,Carlos Terán,1243,Athletico Paranaense,0,FirstHalf,Pass,Successful,20.7,28.3,23,70.2
14,404979,Lucas Esquivel,1243,Athletico Paranaense,0,FirstHalf,Pass,Unsuccessful,22.9,79.7,52.2,84.4
10,417722,Félix Torres,1219,Internacional,0,FirstHalf,Interception,Successful,36,17.4,,
11,372676,Rodrigo Villagra,1219,Internacional,0,FirstHalf,BallRecovery,Successful,51.7,26.2,,
12,372676,Rodrigo Villagra,1219,Internacional,0,FirstHalf,Pass,Successful,54.5,21.9,67.6,12.6
13,404828,Johan Carbonero,1219,Internacional,0,FirstHalf,Pass,Successful,67.6,12.6,62.5,21.5
14,383128,Bruno Gomes,1219,Internacional,0,FirstHalf,Pass,Successful,62.5,21.5,60.1,9.5
15,373666,Vitinho,1219,Internacional,0,FirstHalf,Pass,Successful,60.1,9.5,58.6,22.4
16,372676,Rodrigo Villagra,1219,Internacional,0,FirstHalf,Pass,Successful,58.6,22.4,40.7,15.6
17,417722,Félix Torres,1219,Internacional,0,FirstHalf,Pass,Successful,39.9,18,38.1,26.7
18,372676,Rodrigo Villagra,1219,Internacional,0,FirstHalf,Pass,Successful,37.8,30.9,31.1,75.9
19,399546,Matheus Bahia,1219,Internacional,1,FirstHalf,Pass,Successful,31.1,75.9,12.9,54.6
20,416920,Anthoni,1219,Internacional,1,FirstHalf,Pass,Unsuccessful,18.3,45.7,57.2,49.9
15,477736,Juan Aguirre,1243,Athletico Paranaense,1,FirstHalf,Aerial,Successful,37.4,51.8,,
21,355714,Alerrandro,1219,Internacional,1,FirstHalf,Aerial,Unsuccessful,62.6,48.2,,
16,477736,Juan Aguirre,1243,Athletico Paranaense,1,FirstHalf,Pass,Unsuccessful,28.5,54.6,57.6,53.9
22,383128,Bruno Gomes,1219,Internacional,1,FirstHalf,Aerial,Successful,43.8,46.7,,
17,43369,Luiz Gustavo,1243,Athletico Paranaense,1,FirstHalf,Aerial,Unsuccessful,56.2,53.3,,
23,383128,Bruno Gomes,1219,Internacional,1,FirstHalf,Pass,Unsuccessful,45.9,47.6,59.9,60.5
18,404383,Carlos Terán,1243,Athletico Paranaense,1,FirstHalf,BallTouch,Successful,33.5,27,,
19,119542,Gilberto,1243,Athletico Paranaense,1,FirstHalf,BallRecovery,Successful,40.8,16.7,,
20,119542,Gilberto,1243,Athletico Paranaense,1,FirstHalf,Pass,Successful,40.8,16.7,38.3,23.1
21,43369,Luiz Gustavo,1243,Athletico Paranaense,1,FirstHalf,Pass,Successful,38.3,23.1,26.8,18.8
