eventid,playerid,jogador,teamId,teamName,minute,tempo,type,outcome,x,y,endX,endY
2,,,1221,Bahia,0,FirstHalf,Start,Successful,0,0,,
2,,,1237,Corinthians,0,FirstHalf,Start,Successful,0,0,,
3,432685,Rodrigo Garro,1237,Corinthians,0,FirstHalf,Pass,Successful,50.1,49.8,25.8,49.1
4,399247,Hugo Souza,1237,Corinthians,0,FirstHalf,Pass,Successful,25.6,49.1,66.1,14.2
5,449872,Kaio César,1237,Corinthians,0,FirstHalf,BallTouch,Unsuccessful,65.8,13.9,,
140,355659,Jean Lucas,1221,Bahia,0,FirstHalf,TakeOn,Unsuccessful,29.2,90.2,,
298,398130,Matheuzinho,1237,Corinthians,0,FirstHalf,Tackle,Successful,70.8,9.8,,
299,398130,Matheuzinho,1237,Corinthians,0,FirstHalf,Pass,Unsuccessful,73.2,15.9,74.5,27
3,389163,Rodrigo Nestor,1221,Bahia,0,FirstHalf,BallRecovery,Successful,30.1,68.4,,
4,389163,Rodrigo Nestor,1221,Bahia,0,FirstHalf,Pass,Successful,31,69.1,45.4,92.7
6,398130,Matheuzinho,1237,Corinthians,0,FirstHalf,Challenge,Unsuccessful,35.4,7.6,,
5,549062,Erick Pulga,1221,Bahia,0,FirstHalf,TakeOn,Successful,64.6,92.4,,
6,549062,Erick Pulga,1221,Bahia,0,FirstHalf,Pass,Successful,62.8,85,71.5,21.2
7,356785,Ademir,1221,Bahia,0,FirstHalf,Pass,Successful,71.5,21.2,65.5,14.6
8,518031,Román Gómez,1221,Bahia,0,FirstHalf,Pass,Successful,65.5,14.6,77.8,11.9
9,389163,Rodrigo Nestor,1221,Bahia,0,FirstHalf,Pass,Unsuccessful,77,12.8,97.8,58.2
7,398130,Matheuzinho,1237,Corinthians,0,FirstHalf,Clearance,Successful,2.7,40.8,0,37.6
10,389163,Rodrigo Nestor,1221,Bahia,0,FirstHalf,CornerAwarded,Successful,99.9,60.7,,
8,398130,Matheuzinho,1237,Corinthians,0,FirstHalf,CornerAwarded,Unsuccessful,0,0,,
11,389163,Rodrigo Nestor,1221,Bahia,1,FirstHalf,Pass,Unsuccessful,99.6,99.6,92.4,48.4
9,114595,Gustavo Henrique,1237,Corinthians,1,FirstHalf,Clearance,Successful,8.5,46.2,27.4,38.9
12,476466,Zé Guilherme,1221,Bahia,1,FirstHalf,Pass,Successful,76.3,64.8,84.2,91.7
13,389163,Rodrigo Nestor,1221,Bahia,1,FirstHalf,Pass,Successful,84.2,91.7,95.3,82.3
14,355659,Jean Lucas,1221,Bahia,1,FirstHalf,Pass,Unsuccessful,95.3,82.3,95.1,79.9
10,420319,Raniele,1237,Corinthians,1,FirstHalf,BallTouch,Successful,6.9,26.3,,
15,549062,Erick Pulga,1221,Bahia,1,FirstHalf,MissedShots,Successful,86.9,68.1,,
13,399247,Hugo Souza,1237,Corinthians,1,FirstHalf,Pass,Successful,5.2,50,52.6,25.4
14,348261,Yuri Alberto,1237,Corinthians,1,FirstHalf,Pass,Unsuccessful,52.6,25.4,69.3,38
17,476466,Zé Guilherme,1221,Bahia,1,FirstHalf,BallRecovery,Successful,21.7,61.7,,
18,476466,Zé Guilherme,1221,Bahia,1,FirstHalf,Pass,Successful,21.7,61.7,14.3,54.9
19,330555,Ronaldo,1221,Bahia,1,FirstHalf,Pass,Successful,14.2,54.8,19.1,49
20,279581,David Duarte,1221,Bahia,1,FirstHalf,Pass,Successful,23.2,43.6,25.1,23.7
21,518031,Román Gómez,1221,Bahia,1,FirstHalf,Pass,Successful,25.7,23.7,22.6,43
22,279581,David Duarte,1221,Bahia,1,FirstHalf,Pass,Successful,22.5,38.6,24,21.3
15,441410,Breno Bidon,1237,Corinthians,1,FirstHalf,Challenge,Unsuccessful,71.2,85,,
23,518031,Román Gómez,1221,Bahia,1,FirstHalf,TakeOn,Successful,28.8,15,,
24,518031,Román Gómez,1221,Bahia,2,FirstHalf,Pass,Successful,26.3,6.5,6.7,38.9
25,330555,Ronaldo,1221,Bahia,2,FirstHalf,Pass,Successful,6.7,38.9,17.8,31.6
26,396067,Nicolás Acevedo,1221,Bahia,2,FirstHalf,Pass,Successful,19.4,28.3,21.6,6.7
27,518031,Román Gómez,1221,Bahia,2,FirstHalf,Pass,Successful,21.6,6.7,10,6.1
28,279581,David Duarte,1221,Bahia,2,FirstHalf,Pass,Successful,5.9,8.3,5,40.3
29,330555,Ronaldo,1221,Bahia,2,FirstHalf,Pass,Successful,9.5,45.4,19.2,37.7
30,396067,Nicolás Acevedo,1221,Bahia,2,FirstHalf,Pass,Successful,23,36.3,25.4,51.8
31,355659,Jean Lucas,1221,Bahia,2,FirstHalf,Pass,Successful,26.2,53.7,29.9,85.3
32,402198,Santiago Ramos Mingo,1221,Bahia,2,FirstHalf,Pass,Successful,36.8,85.6,37.1,70.6
33,355659,Jean Lucas,1221,Bahia,2,FirstHalf,Pass,Successful,36.2,67.9,35.2,34
34,518031,Román Gómez,1221,Bahia,2,FirstHalf,Pass,Successful,45.5,30.4,37,40.9
35,279581,David Duarte,1221,Bahia,2,FirstHalf,Pass,Successful,38.9,41.2,72.8,96.3
36,476466,Zé Guilherme,1221,Bahia,2,FirstHalf,BallTouch,Unsuccessful,63.6,87.7,,
16,348261,Yuri Alberto,1237,Corinthians,2,FirstHalf,Pass,Successful,36.3,21,30.8,27
