"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
88300,1239,88,37.4,4.2,57.3,23.1,"Pass","SecondHalf","Successful","Danilo",791
88300,1239,89,40.4,34,40.6,72.9,"Pass","SecondHalf","Successful","Danilo",797
88300,1239,58,33.9,11.7,45.2,4.2,"Pass","SecondHalf","Successful","Danilo",520
88300,1239,93,52,47.8,57.4,76.6,"Pass","SecondHalf","Successful","Danilo",824
88300,1239,69,9.3,48.1,0,25.6,"Clearance","SecondHalf","Successful","Danilo",603
88300,1239,36,53.6,9.9,NA,NA,"BallRecovery","FirstHalf","Successful","Danilo",301
88300,1239,25,0,0,NA,NA,"SubstitutionOn","FirstHalf","Successful","Danilo",170
88300,1239,63,30.4,9.7,39.9,22.2,"Pass","SecondHalf","Successful","Danilo",561
88300,1239,52,16.9,33.9,12.3,57.7,"Pass","FirstHalf","Successful","Danilo",404
88300,1239,28,55.5,25,63.9,33.9,"Pass","FirstHalf","Successful","Danilo",190
88300,1239,35,36.7,67.1,NA,NA,"Interception","FirstHalf","Successful","Danilo",281
88300,1239,30,62.5,34.9,71.2,10,"Pass","FirstHalf","Successful","Danilo",224
88300,1239,44,38,63.1,54,84.7,"Pass","FirstHalf","Unsuccessful","Danilo",328
88300,1239,69,2.8,34.7,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Danilo",604
88300,1239,36,53.6,9.9,51.9,28.9,"Pass","FirstHalf","Successful","Danilo",302
88300,1239,58,49.6,9.6,NA,NA,"Foul","SecondHalf","Unsuccessful","Danilo",524
88300,1239,36,46.4,15.8,34.8,53.6,"Pass","FirstHalf","Successful","Danilo",289
88300,1239,43,39,30.6,61.6,36,"Pass","FirstHalf","Unsuccessful","Danilo",327
88300,1239,82,12,40.2,30.3,30.4,"Clearance","SecondHalf","Successful","Danilo",717
88300,1239,57,82,43.6,84.3,57,"Pass","SecondHalf","Unsuccessful","Danilo",513
88300,1239,36,47.5,46.8,24.9,50.4,"Pass","FirstHalf","Successful","Danilo",293
88300,1239,92,46.7,47.5,76.7,71.4,"Pass","SecondHalf","Successful","Danilo",822
88300,1239,30,52.9,54,57.1,27.9,"Pass","FirstHalf","Successful","Danilo",222
88300,1239,29,33.4,29.5,41.5,8.8,"Pass","FirstHalf","Successful","Danilo",212
88300,1239,30,47.3,47.1,53.7,75,"Pass","FirstHalf","Successful","Danilo",218
88300,1239,78,58.5,28.2,73.5,23.2,"Pass","SecondHalf","Successful","Danilo",674
88300,1239,88,39.9,25.8,25.1,45.6,"Pass","SecondHalf","Successful","Danilo",789
88300,1239,48,3.3,47.1,NA,NA,"Save","SecondHalf","Successful","Danilo",433
