"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
27490,1232,71,4.3,42.1,46.9,14.6,"Pass","SecondHalf","Unsuccessful","Fábio",469
27490,1232,64,13.9,46.7,NA,NA,"Claim","SecondHalf","Successful","Fábio",424
27490,1232,94,4.9,38.6,61.7,31.2,"Pass","SecondHalf","Unsuccessful","Fábio",611
27490,1232,78,4.3,58.5,44.1,77.5,"Pass","SecondHalf","Successful","Fábio",518
27490,1232,65,5.3,71.7,9.6,90.2,"Pass","SecondHalf","Successful","Fábio",432
27490,1232,46,20.8,68.8,NA,NA,"KeeperSweeper","FirstHalf","Successful","Fábio",299
27490,1232,45,4.2,38.6,53.8,36.1,"Pass","FirstHalf","Successful","Fábio",295
27490,1232,13,3.1,60.6,37,18.9,"Pass","FirstHalf","Unsuccessful","Fábio",94
27490,1232,12,11,67.6,NA,NA,"BallRecovery","FirstHalf","Successful","Fábio",91
27490,1232,10,4.2,41.2,7.6,76.4,"Pass","FirstHalf","Successful","Fábio",81
27490,1232,13,12.2,65.8,14.2,84.7,"Pass","FirstHalf","Successful","Fábio",92
27490,1232,64,8.1,43.3,14,72.1,"Pass","SecondHalf","Successful","Fábio",425
27490,1232,65,9.9,54.6,24.7,86,"Pass","SecondHalf","Successful","Fábio",436
27490,1232,56,1.9,49.6,NA,NA,"Save","SecondHalf","Successful","Fábio",388
27490,1232,48,3.1,52.7,24.1,86.3,"Punch","SecondHalf","Successful","Fábio",333
27490,1232,46,20.8,68.8,44.9,100,"Clearance","FirstHalf","Successful","Fábio",300
27490,1232,77,5.9,63.6,14.7,90.6,"Pass","SecondHalf","Successful","Fábio",515
27490,1232,84,0,0,NA,NA,"PenaltyFaced","SecondHalf","Unsuccessful","Fábio",537
27490,1232,55,4.5,39.8,57.5,17.3,"Pass","SecondHalf","Successful","Fábio",379
27490,1232,56,1.9,49.6,NA,NA,"KeeperPickup","SecondHalf","Successful","Fábio",389
27490,1232,62,3.8,47.9,NA,NA,"KeeperPickup","SecondHalf","Successful","Fábio",418
27490,1232,65,3.2,52.7,NA,NA,"KeeperPickup","SecondHalf","Successful","Fábio",435
27490,1232,10,2.6,49.3,NA,NA,"Save","FirstHalf","Successful","Fábio",78
27490,1232,56,2.9,51.5,20.5,93.3,"Pass","SecondHalf","Successful","Fábio",390
27490,1232,80,1.3,51.8,NA,NA,"Save","SecondHalf","Successful","Fábio",531
27490,1232,68,2.7,54.9,NA,NA,"Claim","SecondHalf","Successful","Fábio",454
27490,1232,77,8.5,74.7,NA,NA,"Claim","SecondHalf","Successful","Fábio",514
27490,1232,37,5,48.2,5.7,49,"Pass","FirstHalf","Successful","Fábio",246
27490,1232,10,2.6,49.3,NA,NA,"KeeperPickup","FirstHalf","Successful","Fábio",79
27490,1232,95,13.3,24.7,65,15.6,"Pass","SecondHalf","Unsuccessful","Fábio",615
27490,1232,63,7.4,42.7,13.8,72.7,"Pass","SecondHalf","Successful","Fábio",419
27490,1232,94,3.3,29.1,NA,NA,"KeeperPickup","SecondHalf","Successful","Fábio",613
27490,1232,35,4.7,49.7,5.2,50.9,"Pass","FirstHalf","Successful","Fábio",235
27490,1232,68,10.4,33,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Fábio",455
27490,1232,37,4.2,35.2,2.4,58.2,"Pass","FirstHalf","Successful","Fábio",249
28550,1232,49,13.5,44.4,32.7,55.2,"Clearance","SecondHalf","Successful","Thiago Silva",345
28550,1232,37,11.5,10.3,3,32.2,"Pass","FirstHalf","Successful","Thiago Silva",248
28550,1232,4,37.5,32.8,53.4,5,"Pass","FirstHalf","Successful","Thiago Silva",42
28550,1232,55,4.6,32.7,NA,NA,"BlockedPass","SecondHalf","Successful","Thiago Silva",384
28550,1232,21,37.1,35.8,77.7,61.2,"Pass","FirstHalf","Unsuccessful","Thiago Silva",176
28550,1232,43,35.2,46.6,28.7,79.7,"Pass","FirstHalf","Successful","Thiago Silva",287
28550,1232,52,38.3,28.9,43.7,34.2,"Pass","SecondHalf","Successful","Thiago Silva",366
28550,1232,95,16.4,48.7,16,62.9,"Clearance","SecondHalf","Successful","Thiago Silva",617
28550,1232,92,53.8,47,54.1,46.1,"Pass","SecondHalf","Unsuccessful","Thiago Silva",598
28550,1232,0,34,48.4,75.2,100,"Pass","FirstHalf","Unsuccessful","Thiago Silva",4
28550,1232,46,29.2,10.1,NA,NA,"BallTouch","SecondHalf","Successful","Thiago Silva",322
28550,1232,49,13.2,40.6,31.3,40.6,"Clearance","SecondHalf","Successful","Thiago Silva",340
28550,1232,51,29,42.7,68.1,76.1,"Pass","SecondHalf","Unsuccessful","Thiago Silva",352
28550,1232,20,32.3,41.3,46.3,25.2,"Pass","FirstHalf","Successful","Thiago Silva",161
28550,1232,73,21.5,42.8,NA,NA,"BallRecovery","SecondHalf","Successful","Thiago Silva",488
28550,1232,55,2.8,32.1,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Thiago Silva",385
28550,1232,73,21.8,41.8,33,28.9,"Pass","SecondHalf","Successful","Thiago Silva",489
28550,1232,75,27.2,36.1,46.5,78.5,"Pass","SecondHalf","Unsuccessful","Thiago Silva",509
28550,1232,51,22.4,21.9,55,35.4,"Pass","SecondHalf","Unsuccessful","Thiago Silva",351
28550,1232,90,45.3,54.9,73.6,92.1,"Pass","SecondHalf","Successful","Thiago Silva",587
28550,1232,9,14,34.6,39.1,6.5,"Pass","FirstHalf","Unsuccessful","Thiago Silva",72
28550,1232,74,46.7,35.1,57.6,5.6,"Pass","SecondHalf","Successful","Thiago Silva",496
28550,1232,38,17.4,30.3,29.5,28.2,"Clearance","FirstHalf","Successful","Thiago Silva",253
28550,1232,55,3.2,32.4,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Thiago Silva",386
28550,1232,15,29.2,11.4,33.6,3.7,"Pass","FirstHalf","Successful","Thiago Silva",116
28550,1232,58,10.7,43.6,22.3,7.4,"Clearance","SecondHalf","Successful","Thiago Silva",400
28550,1232,39,46.5,58.8,44.7,80.2,"Pass","FirstHalf","Successful","Thiago Silva",269
28550,1232,49,13.5,44.4,NA,NA,"Aerial","SecondHalf","Successful","Thiago Silva",344
28550,1232,13,21.1,40.9,23.1,66.2,"Pass","FirstHalf","Successful","Thiago Silva",97
28550,1232,6,51.8,5.8,NA,NA,"Aerial","FirstHalf","Unsuccessful","Thiago Silva",59
28550,1232,52,18.7,40.4,27.5,43.4,"Clearance","SecondHalf","Successful","Thiago Silva",355
28550,1232,5,31.7,8.6,73.5,34,"Pass","FirstHalf","Unsuccessful","Thiago Silva",55
28550,1232,20,31.2,36.6,32.2,60.2,"Pass","FirstHalf","Successful","Thiago Silva",167
28550,1232,73,32.7,38.6,43.8,94.5,"Pass","SecondHalf","Successful","Thiago Silva",486
28550,1232,92,56.1,40.6,66,28.2,"Pass","SecondHalf","Successful","Thiago Silva",599
28550,1232,47,8.7,45.4,28.5,50,"Clearance","SecondHalf","Successful","Thiago Silva",331
28550,1232,58,9.2,43.1,21.6,23,"Clearance","SecondHalf","Successful","Thiago Silva",398
28550,1232,50,8.6,51.2,13.6,36.3,"Clearance","SecondHalf","Successful","Thiago Silva",346
28550,1232,44,13.3,39.7,NA,NA,"Save","FirstHalf","Successful","Thiago Silva",291
28550,1232,19,46.6,29.2,54.5,32.1,"Pass","FirstHalf","Successful","Thiago Silva",150
28550,1232,20,31.7,53.6,42.2,70.9,"Pass","FirstHalf","Successful","Thiago Silva",158
28550,1232,85,28.5,38,15,59.3,"Pass","SecondHalf","Successful","Thiago Silva",540
28550,1232,5,32.2,12.8,27.3,50.4,"Pass","FirstHalf","Successful","Thiago Silva",53
28550,1232,27,13.8,50.4,30.8,56.9,"Clearance","FirstHalf","Successful","Thiago Silva",193
28550,1232,50,18.8,29.1,NA,NA,"OffsideProvoked","SecondHalf","Successful","Thiago Silva",349
28550,1232,29,32.2,27.3,28.8,57.3,"Pass","FirstHalf","Successful","Thiago Silva",214
28550,1232,4,43.3,28.6,36.9,55.2,"Pass","FirstHalf","Successful","Thiago Silva",40
28550,1232,13,9.8,27.7,9.4,74.7,"Pass","FirstHalf","Successful","Thiago Silva",101
28550,1232,18,96.2,67.9,96.4,52.2,"Pass","FirstHalf","Unsuccessful","Thiago Silva",136
28550,1232,65,19,45.5,5.6,70.3,"Pass","SecondHalf","Successful","Thiago Silva",431
28550,1232,13,14.1,38.8,19.8,3.4,"Pass","FirstHalf","Successful","Thiago Silva",99
28550,1232,52,41.9,35.1,37.3,61.1,"Pass","SecondHalf","Successful","Thiago Silva",361
28550,1232,4,44.3,26.6,NA,NA,"TakeOn","FirstHalf","Successful","Thiago Silva",39
28550,1232,72,38,35.4,NA,NA,"OffsideProvoked","SecondHalf","Successful","Thiago Silva",484
28550,1232,18,89.9,35.5,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Thiago Silva",140
28550,1232,46,24.1,30.3,36.2,38.9,"Pass","FirstHalf","Successful","Thiago Silva",302
28550,1232,4,47.9,27.7,NA,NA,"BallRecovery","FirstHalf","Successful","Thiago Silva",38
28550,1232,20,31.7,53.6,NA,NA,"BallRecovery","FirstHalf","Successful","Thiago Silva",157
88300,1239,62,60,25.8,54.4,56.9,"Pass","SecondHalf","Successful","Danilo",625
88300,1239,72,34.6,23.4,43,27.7,"Pass","SecondHalf","Successful","Danilo",729
88300,1239,66,60.9,27.1,55.3,57,"Pass","SecondHalf","Successful","Danilo",668
88300,1239,51,34.7,35.7,32.4,59.1,"Pass","SecondHalf","Successful","Danilo",516
88300,1239,90,53.9,27.4,56.9,53.6,"Pass","SecondHalf","Unsuccessful","Danilo",884
88300,1239,52,62.7,14,55.7,36.1,"Pass","SecondHalf","Successful","Danilo",532
88300,1239,64,36.9,26.4,34.2,53,"Pass","SecondHalf","Successful","Danilo",642
88300,1239,64,51.5,26.2,59.6,18.6,"Pass","SecondHalf","Successful","Danilo",644
88300,1239,50,62.5,24.4,72.5,8.6,"Pass","SecondHalf","Successful","Danilo",505
88300,1239,54,71.2,28.9,84.4,10.9,"Pass","SecondHalf","Successful","Danilo",550
88300,1239,97,25.1,69.7,37.4,81.2,"Pass","SecondHalf","Successful","Danilo",943
88300,1239,67,84.6,8,88.5,15,"Pass","SecondHalf","Unsuccessful","Danilo",676
88300,1239,55,29,42.7,22.9,67.3,"Pass","SecondHalf","Successful","Danilo",560
88300,1239,61,56.1,32.2,56.6,54.6,"Pass","SecondHalf","Successful","Danilo",613
88300,1239,86,53.4,40.6,65.2,23,"Pass","SecondHalf","Successful","Danilo",852
88300,1239,74,11.2,53.6,0,61.5,"Clearance","SecondHalf","Successful","Danilo",749
88300,1239,45,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Danilo",448
88300,1239,67,74.5,0,60.2,10.1,"Pass","SecondHalf","Successful","Danilo",678
