"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
16886,1235,9,61.6,76.3,70.8,95.1,"Pass","FirstHalf","Successful","Hulk",104
16886,1235,22,62.7,69.9,70.1,58.7,"Pass","FirstHalf","Successful","Hulk",203
16886,1235,47,68.4,50,NA,NA,"SavedShot","FirstHalf","Successful","Hulk",445
16886,1235,41,91.8,17.9,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Hulk",386
16886,1235,0,49.9,49.9,34.8,61.5,"Pass","FirstHalf","Successful","Hulk",3
16886,1235,19,32.3,16.1,NA,NA,"Foul","FirstHalf","Successful","Hulk",185
16886,1235,44,53.9,52.5,52.8,32.7,"Pass","FirstHalf","Successful","Hulk",411
16886,1235,1,46.1,46.6,43.9,56.7,"Pass","FirstHalf","Successful","Hulk",19
16886,1235,22,64.6,80,NA,NA,"TakeOn","FirstHalf","Successful","Hulk",202
16886,1235,62,30.7,10.7,NA,NA,"BlockedPass","SecondHalf","Successful","Hulk",622
16886,1235,74,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Hulk",734
16886,1235,51,79.2,71.2,76.8,79,"Pass","SecondHalf","Successful","Hulk",543
16886,1235,68,73.6,5.8,NA,NA,"Foul","SecondHalf","Unsuccessful","Hulk",680
16886,1235,73,72.1,53.3,75.5,49.9,"Pass","SecondHalf","Unsuccessful","Hulk",732
16886,1235,38,63.3,39.5,64.7,57.6,"Pass","FirstHalf","Successful","Hulk",367
16886,1235,51,78.4,73.6,90.3,83.8,"Pass","SecondHalf","Successful","Hulk",537
16886,1235,16,44.1,29.2,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Hulk",143
16886,1235,40,75.3,65.1,NA,NA,"SavedShot","FirstHalf","Successful","Hulk",380
16886,1235,55,59.5,72.4,55.7,66,"Pass","SecondHalf","Successful","Hulk",574
16886,1235,36,92.4,25,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Hulk",342
16886,1235,36,69.9,30.1,NA,NA,"BallTouch","FirstHalf","Successful","Hulk",339
16886,1235,22,70.9,66.7,73.1,70.7,"Pass","FirstHalf","Unsuccessful","Hulk",205
16886,1235,46,67.1,48.5,62.3,32.4,"Pass","FirstHalf","Successful","Hulk",441
16886,1235,68,68.2,53.1,72.3,66.1,"Pass","SecondHalf","Successful","Hulk",675
16886,1235,46,68.2,45.8,NA,NA,"Foul","FirstHalf","Successful","Hulk",443
16886,1235,43,47,50,NA,NA,"Foul","FirstHalf","Successful","Hulk",397
16886,1235,52,76.3,69,80.8,75.7,"Pass","SecondHalf","Unsuccessful","Hulk",549
16886,1235,29,53.4,68.4,46.5,78.8,"Pass","FirstHalf","Successful","Hulk",280
16886,1235,7,58.4,17.1,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Hulk",79
16886,1235,22,59.5,85.4,NA,NA,"BallRecovery","FirstHalf","Successful","Hulk",201
