"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
43369,1224,28,16.6,42.2,NA,NA,"Save","FirstHalf","Successful","Luiz Gustavo",197
43369,1224,92,10.4,38.6,25.2,0,"Clearance","SecondHalf","Successful","Luiz Gustavo",603
43369,1224,73,7,46.2,NA,NA,"BallTouch","SecondHalf","Successful","Luiz Gustavo",501
43369,1224,5,24.7,46.5,8.7,58,"Pass","FirstHalf","Successful","Luiz Gustavo",45
43369,1224,28,23.5,47.1,29.1,47.1,"Pass","FirstHalf","Unsuccessful","Luiz Gustavo",202
43369,1224,40,13.6,47.6,NA,NA,"Interception","FirstHalf","Successful","Luiz Gustavo",277
43369,1224,70,10.1,49.7,NA,NA,"Aerial","SecondHalf","Successful","Luiz Gustavo",486
43369,1224,70,7.4,50.2,35.7,34.8,"Clearance","SecondHalf","Successful","Luiz Gustavo",488
43369,1224,28,35.2,50.8,NA,NA,"Interception","FirstHalf","Successful","Luiz Gustavo",195
43369,1224,10,6.2,23.2,NA,NA,"Dispossessed","FirstHalf","Successful","Luiz Gustavo",88
43369,1224,34,9.7,46.5,17.6,83.5,"Clearance","FirstHalf","Successful","Luiz Gustavo",234
43369,1224,90,6.1,43.6,27.3,35.6,"Clearance","SecondHalf","Successful","Luiz Gustavo",592
43369,1224,0,36.7,30.6,40.1,12.3,"Pass","FirstHalf","Successful","Luiz Gustavo",4
43369,1224,58,37.9,51.1,45.8,74.1,"Pass","SecondHalf","Successful","Luiz Gustavo",432
43369,1224,81,10,70.4,NA,NA,"Foul","SecondHalf","Successful","Luiz Gustavo",535
43369,1224,46,4.9,47.7,21.9,34.1,"Clearance","SecondHalf","Successful","Luiz Gustavo",358
43369,1224,24,39,33.3,40.8,32.9,"Pass","FirstHalf","Unsuccessful","Luiz Gustavo",171
43369,1224,2,2.3,75.8,8.4,71.1,"Pass","FirstHalf","Successful","Luiz Gustavo",339
43369,1224,24,38.8,34.1,NA,NA,"Aerial","FirstHalf","Successful","Luiz Gustavo",170
43369,1224,0,36.7,30.6,NA,NA,"BallRecovery","FirstHalf","Successful","Luiz Gustavo",3
43369,1224,74,19.5,50.2,NA,NA,"Tackle","SecondHalf","Unsuccessful","Luiz Gustavo",506
43369,1224,16,18.4,30.3,17.4,14.7,"Pass","FirstHalf","Successful","Luiz Gustavo",122
43369,1224,70,10.1,49.7,12.6,46.4,"Clearance","SecondHalf","Successful","Luiz Gustavo",487
43369,1224,13,37.5,35.5,NA,NA,"Tackle","FirstHalf","Successful","Luiz Gustavo",97
43369,1224,34,9.7,46.5,NA,NA,"Aerial","FirstHalf","Successful","Luiz Gustavo",233
43369,1224,93,31.4,32.9,38.6,26.2,"Pass","SecondHalf","Successful","Luiz Gustavo",611
43369,1224,93,7.3,38.8,NA,NA,"Save","SecondHalf","Successful","Luiz Gustavo",608
43369,1224,79,12,71.2,34,81.2,"Pass","SecondHalf","Unsuccessful","Luiz Gustavo",527
43369,1224,93,27.1,34.2,NA,NA,"BallRecovery","SecondHalf","Successful","Luiz Gustavo",610
64096,1224,91,4.3,42.4,NA,NA,"KeeperPickup","SecondHalf","Successful","Rafael",596
64096,1224,26,5.2,58.8,59.8,74.1,"Pass","FirstHalf","Unsuccessful","Rafael",179
64096,1224,2,12.2,60.3,14.7,76.7,"Pass","FirstHalf","Unsuccessful","Rafael",20
64096,1224,33,17.1,74.7,60.8,72.6,"Pass","FirstHalf","Successful","Rafael",226
64096,1224,67,15,66.1,64.4,66.7,"Pass","SecondHalf","Unsuccessful","Rafael",473
64096,1224,69,1.5,45.6,NA,NA,"KeeperPickup","SecondHalf","Successful","Rafael",483
64096,1224,45,2,46.9,NA,NA,"Save","FirstHalf","Successful","Rafael",308
64096,1224,48,9.2,65.9,56.1,78,"Pass","SecondHalf","Unsuccessful","Rafael",372
64096,1224,17,6.9,51.2,NA,NA,"KeeperPickup","FirstHalf","Successful","Rafael",138
64096,1224,69,14.4,35,62.6,0,"Pass","SecondHalf","Unsuccessful","Rafael",484
64096,1224,5,8.7,58,62.1,71.4,"Pass","FirstHalf","Unsuccessful","Rafael",46
64096,1224,17,16,51.7,56.6,70,"Pass","FirstHalf","Unsuccessful","Rafael",139
64096,1224,51,27.2,17.4,65.7,7.9,"Pass","SecondHalf","Successful","Rafael",392
64096,1224,92,1.3,47.6,NA,NA,"Save","SecondHalf","Successful","Rafael",605
64096,1224,45,14.7,65.5,67.6,72,"Pass","FirstHalf","Unsuccessful","Rafael",310
