"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
88300,1239,31,31.2,33.6,33.3,59.7,"Pass","FirstHalf","Successful","Danilo",375
88300,1239,90,9.8,25.8,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Danilo",1066
88300,1239,7,30.4,51.3,34.2,71,"Pass","FirstHalf","Successful","Danilo",80
88300,1239,12,56.2,22.2,69,15.5,"Pass","FirstHalf","Successful","Danilo",128
88300,1239,77,58.6,16.8,66.9,34.4,"Pass","SecondHalf","Successful","Danilo",898
88300,1239,28,31.4,38.1,NA,NA,"OffsideProvoked","FirstHalf","Successful","Danilo",343
88300,1239,78,51.5,50.8,58.9,71,"Pass","SecondHalf","Successful","Danilo",915
88300,1239,66,41.8,34.1,NA,NA,"OffsideProvoked","SecondHalf","Successful","Danilo",765
88300,1239,65,30.6,44.4,41.1,21.1,"Pass","SecondHalf","Successful","Danilo",752
88300,1239,31,52.8,35.4,56.5,83.6,"Pass","FirstHalf","Successful","Danilo",384
88300,1239,15,42.8,24.1,37.4,44.8,"Pass","FirstHalf","Successful","Danilo",162
88300,1239,93,32.9,7.1,70.5,7.7,"Pass","SecondHalf","Unsuccessful","Danilo",1095
88300,1239,38,61.2,10.9,76.4,0,"Pass","FirstHalf","Unsuccessful","Danilo",448
88300,1239,61,30.3,52.4,35.2,70.2,"Pass","SecondHalf","Successful","Danilo",707
88300,1239,27,65.4,32.2,72.7,45.4,"Pass","FirstHalf","Successful","Danilo",328
88300,1239,4,56.6,33.3,76.1,10.9,"Pass","FirstHalf","Successful","Danilo",60
88300,1239,31,39.7,32.2,63.5,14.4,"Pass","FirstHalf","Successful","Danilo",381
88300,1239,9,42.4,35.2,61.5,30.4,"Pass","FirstHalf","Successful","Danilo",102
88300,1239,85,58.3,20.9,60.9,33.5,"Pass","SecondHalf","Successful","Danilo",1008
88300,1239,23,45.1,24.4,45.1,51.3,"Pass","FirstHalf","Successful","Danilo",251
88300,1239,45,53.3,31.3,68.8,7,"Pass","SecondHalf","Successful","Danilo",566
88300,1239,39,14,51.9,15,73.7,"Pass","FirstHalf","Successful","Danilo",474
88300,1239,83,40.7,36,53.2,63.4,"Pass","SecondHalf","Successful","Danilo",988
88300,1239,35,71.7,41.9,78.2,17.1,"Pass","FirstHalf","Successful","Danilo",424
88300,1239,77,60.9,12.5,70.1,24.6,"Pass","SecondHalf","Successful","Danilo",895
88300,1239,4,32.3,56,39.3,64.5,"Pass","FirstHalf","Successful","Danilo",58
88300,1239,34,58.6,14.5,NA,NA,"Aerial","FirstHalf","Successful","Danilo",406
88300,1239,19,67.7,49.5,74.8,23.6,"Pass","FirstHalf","Successful","Danilo",207
88300,1239,81,63.4,35.4,86.4,77.7,"Pass","SecondHalf","Successful","Danilo",963
88300,1239,77,60.9,23.3,63.3,65.3,"Pass","SecondHalf","Successful","Danilo",900
88300,1239,21,41.6,43.2,43.4,65.4,"Pass","FirstHalf","Successful","Danilo",222
88300,1239,40,47.8,50.2,61.9,24.4,"Pass","FirstHalf","Unsuccessful","Danilo",486
