"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
93433,2065,53,38.8,89.6,NA,NA,"Foul","SecondHalf","Unsuccessful","Diogo Barbosa",374
93433,2065,67,38.6,87.7,NA,NA,"Interception","SecondHalf","Successful","Diogo Barbosa",434
93433,2065,51,5.8,79.3,NA,NA,"Challenge","SecondHalf","Unsuccessful","Diogo Barbosa",363
93433,2065,46,60.6,79.3,73.5,90.7,"Pass","SecondHalf","Successful","Diogo Barbosa",315
93433,2065,74,8.8,72.4,NA,NA,"Clearance","SecondHalf","Successful","Diogo Barbosa",484
93433,2065,29,43.4,74,54.4,65.8,"Pass","FirstHalf","Successful","Diogo Barbosa",188
93433,2065,88,35.8,100,59.9,90.6,"Pass","SecondHalf","Successful","Diogo Barbosa",585
93433,2065,18,60.9,100,68.2,87.1,"Pass","FirstHalf","Successful","Diogo Barbosa",125
93433,2065,9,35.5,86.8,NA,NA,"Aerial","FirstHalf","Unsuccessful","Diogo Barbosa",67
93433,2065,46,50.9,80.1,56.9,94.5,"Pass","FirstHalf","Successful","Diogo Barbosa",281
93433,2065,3,63.4,93,98.2,74.5,"OffsidePass","FirstHalf","Successful","Diogo Barbosa",23
93433,2065,42,29.5,67.5,55.1,88.9,"Pass","FirstHalf","Successful","Diogo Barbosa",257
93433,2065,77,16.7,61,NA,NA,"Interception","SecondHalf","Successful","Diogo Barbosa",503
93433,2065,30,32,100,55,91.2,"Pass","FirstHalf","Unsuccessful","Diogo Barbosa",196
93433,2065,21,26.1,100,45.9,89.8,"Pass","FirstHalf","Successful","Diogo Barbosa",142
93433,2065,46,94.6,95.3,87.8,63,"Pass","FirstHalf","Unsuccessful","Diogo Barbosa",284
93433,2065,46,69.6,80.4,65.7,89.5,"Pass","SecondHalf","Successful","Diogo Barbosa",322
93433,2065,6,11.7,91,NA,NA,"BallRecovery","FirstHalf","Successful","Diogo Barbosa",53
93433,2065,41,4,48,NA,NA,"Save","FirstHalf","Successful","Diogo Barbosa",248
93433,2065,49,57.9,92.8,70.7,97.9,"Pass","SecondHalf","Successful","Diogo Barbosa",347
93433,2065,67,9,57.6,17.6,53.2,"Clearance","SecondHalf","Successful","Diogo Barbosa",446
93433,2065,6,51.7,85.8,41.8,67,"Pass","FirstHalf","Successful","Diogo Barbosa",41
93433,2065,2,18.5,76.1,NA,NA,"Clearance","FirstHalf","Successful","Diogo Barbosa",16
93433,2065,62,29.5,100,60.6,91.9,"Pass","SecondHalf","Unsuccessful","Diogo Barbosa",401
93433,2065,89,31.5,93.4,NA,NA,"BallRecovery","SecondHalf","Successful","Diogo Barbosa",588
93433,2065,55,11.2,73.9,NA,NA,"Clearance","SecondHalf","Successful","Diogo Barbosa",377
93433,2065,82,63.6,100,84.3,86.4,"Pass","SecondHalf","Unsuccessful","Diogo Barbosa",531
93433,2065,76,33.9,100,35.5,88,"Pass","SecondHalf","Successful","Diogo Barbosa",492
93433,2065,32,55.6,100,68.3,91.2,"Pass","FirstHalf","Successful","Diogo Barbosa",206
93433,2065,6,11.6,90.7,11.9,67.8,"Pass","FirstHalf","Successful","Diogo Barbosa",54
93433,2065,86,55,71.8,53.2,64,"Pass","SecondHalf","Successful","Diogo Barbosa",574
