"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
11119,28925,32,66.2,5.5,67.8,12.1,"Pass","FirstHalf","Successful","Lionel Messi",355
11119,28925,72,68.8,37.3,76.3,85.8,"Pass","SecondHalf","Successful","Lionel Messi",777
11119,28925,80,76.5,37.2,77.7,44.9,"Pass","SecondHalf","Successful","Lionel Messi",842
11119,28925,5,77.2,65.2,98,92.2,"Pass","FirstHalf","Successful","Lionel Messi",76
11119,28925,17,50.9,35.9,55.1,27.4,"Pass","FirstHalf","Successful","Lionel Messi",169
11119,28925,22,72.5,6.1,76.2,37.3,"Pass","FirstHalf","Unsuccessful","Lionel Messi",224
11119,28925,4,69.6,94.2,NA,NA,"TakeOn","FirstHalf","Successful","Lionel Messi",59
11119,28925,63,78.6,37.8,93.9,32.2,"Pass","SecondHalf","Successful","Lionel Messi",721
11119,28925,47,42,32.5,39,51.3,"Pass","FirstHalf","Successful","Lionel Messi",505
11119,28925,77,76.9,49.1,88.5,70.4,"Pass","SecondHalf","Successful","Lionel Messi",819
11119,28925,63,73.3,46.5,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Lionel Messi",716
11119,28925,11,70.4,45.1,67,51.5,"Pass","FirstHalf","Unsuccessful","Lionel Messi",144
11119,28925,58,58.8,19.8,72,8.7,"Pass","SecondHalf","Successful","Lionel Messi",669
11119,28925,6,80.4,39.4,99,19.9,"Pass","FirstHalf","Successful","Lionel Messi",92
11119,28925,8,43.5,26.8,39,36.9,"Pass","FirstHalf","Successful","Lionel Messi",107
11119,28925,8,83.2,49,NA,NA,"CornerAwarded","FirstHalf","Successful","Lionel Messi",117
11119,28925,85,66.5,37.2,91.7,58.5,"Pass","SecondHalf","Unsuccessful","Lionel Messi",883
11119,28925,77,82,63.4,81.3,50.1,"Pass","SecondHalf","Unsuccessful","Lionel Messi",821
11119,28925,18,46.4,65.3,43.2,55.1,"Pass","FirstHalf","Successful","Lionel Messi",178
11119,28925,32,72.8,46.2,NA,NA,"Foul","FirstHalf","Successful","Lionel Messi",361
11119,28925,42,61,38,97.4,26.4,"Pass","FirstHalf","Successful","Lionel Messi",444
11119,28925,68,70.8,54.3,74,58.9,"Pass","SecondHalf","Unsuccessful","Lionel Messi",751
11119,28925,91,51.7,43.6,NA,NA,"MissedShots","SecondHalf","Successful","Lionel Messi",953
11119,28925,3,72.4,87.4,67.6,55.5,"Pass","FirstHalf","Successful","Lionel Messi",57
11119,28925,20,92.1,48.5,NA,NA,"SavedShot","FirstHalf","Successful","Lionel Messi",201
11119,28925,44,74.3,39.2,NA,NA,"OffsideGiven","FirstHalf","Unsuccessful","Lionel Messi",11473
