"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
14195,1220,24,58.8,34.6,86.8,78,"Pass","FirstHalf","Successful","Nenê",238
14195,1220,37,54.8,20.7,81.9,5.4,"Pass","FirstHalf","Successful","Nenê",360
14195,1220,50,69.1,49.6,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Nenê",747
14195,1220,36,99.5,0.5,91.7,43.8,"Pass","FirstHalf","Successful","Nenê",354
14195,1220,23,37.6,35.7,NA,NA,"Dispossessed","FirstHalf","Successful","Nenê",217
14195,1220,37,76.8,25.4,NA,NA,"MissedShots","FirstHalf","Successful","Nenê",364
14195,1220,2,66.6,94.4,NA,NA,"Foul","FirstHalf","Successful","Nenê",27
14195,1220,6,99.4,99.6,92.1,55.3,"Pass","FirstHalf","Unsuccessful","Nenê",57
14195,1220,2,69.3,54.6,NA,NA,"BallRecovery","FirstHalf","Successful","Nenê",26
14195,1220,19,99.5,99.5,91,39.4,"Pass","FirstHalf","Successful","Nenê",172
14195,1220,30,59.2,26.5,NA,NA,"Aerial","FirstHalf","Unsuccessful","Nenê",287
14195,1220,21,70,18.1,73,4,"Pass","FirstHalf","Successful","Nenê",199
14195,1220,52,85.5,59.7,77.5,52.6,"Pass","SecondHalf","Successful","Nenê",496
14195,1220,14,32.1,65.4,36.2,69,"Pass","FirstHalf","Successful","Nenê",137
14195,1220,14,68.9,33.9,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Nenê",141
14195,1220,29,72,5.1,88.3,14.8,"Pass","FirstHalf","Unsuccessful","Nenê",273
14195,1220,37,70.8,31.6,86.3,15,"Pass","FirstHalf","Successful","Nenê",370
14195,1220,9,85,91.5,89.6,5.2,"Pass","FirstHalf","Successful","Nenê",77
14195,1220,23,79,30.3,68.9,60.6,"Pass","FirstHalf","Successful","Nenê",223
14195,1220,18,55.5,94.8,74,23.7,"Pass","FirstHalf","Unsuccessful","Nenê",164
14195,1220,31,78,21,98.8,69.1,"Pass","FirstHalf","Successful","Nenê",295
14195,1220,24,66.6,37.8,68.1,36.9,"Pass","FirstHalf","Unsuccessful","Nenê",236
14195,1220,21,69.3,12.6,72.8,18.6,"Pass","FirstHalf","Successful","Nenê",201
14195,1220,14,32.1,65.4,NA,NA,"BallRecovery","FirstHalf","Successful","Nenê",136
14195,1220,5,57.8,91.9,61.3,81.1,"Pass","FirstHalf","Successful","Nenê",45
14195,1220,45,69.7,26.1,84.6,15.1,"Pass","FirstHalf","Successful","Nenê",419
14195,1220,15,64,9.2,55.1,10.1,"Pass","FirstHalf","Successful","Nenê",145
14195,1220,46,70.5,94.6,79.8,93.3,"Pass","FirstHalf","Unsuccessful","Nenê",437
14195,1220,3,67.3,96.9,92.3,47.2,"Pass","FirstHalf","Unsuccessful","Nenê",28
14195,1220,28,40.2,63.1,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Nenê",263
14195,1220,45,49.9,49.8,26.7,50.4,"Pass","SecondHalf","Successful","Nenê",443
14195,1220,61,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Nenê",542
14195,1220,12,42.6,96.4,42.4,77.4,"Pass","FirstHalf","Successful","Nenê",108
14195,1220,6,99.6,0.6,92.5,43.3,"Pass","FirstHalf","Successful","Nenê",51
14195,1220,7,83.1,8.8,83.9,5.1,"Pass","FirstHalf","Successful","Nenê",65
14195,1220,57,50.1,49.9,39.3,45.3,"Pass","SecondHalf","Successful","Nenê",515
14195,1220,23,40.1,39.9,NA,NA,"BallRecovery","FirstHalf","Successful","Nenê",216
14195,1220,13,57.2,85.5,69.2,97.8,"Pass","FirstHalf","Successful","Nenê",112
14195,1220,9,87.8,95.1,81.6,71.1,"Pass","FirstHalf","Successful","Nenê",88
14195,1220,41,58,94.6,64.4,95.8,"Pass","FirstHalf","Successful","Nenê",397
14195,1220,60,76.8,50.9,NA,NA,"SavedShot","SecondHalf","Successful","Nenê",541
14195,1220,41,61.3,85.8,100,93.7,"Pass","FirstHalf","Unsuccessful","Nenê",399
14195,1220,46,72.6,30.9,84.5,33.1,"Pass","FirstHalf","Unsuccessful","Nenê",428
14195,1220,14,67.1,16.7,NA,NA,"BlockedPass","FirstHalf","Successful","Nenê",736
14195,1220,21,85.8,9.4,92.5,53.2,"Pass","FirstHalf","Successful","Nenê",204
17476,1241,77,57.1,75.6,NA,NA,"Aerial","SecondHalf","Successful","Zé Rafael",637
17476,1241,84,44.9,67.6,56,59.5,"Pass","SecondHalf","Successful","Zé Rafael",685
17476,1241,76,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Zé Rafael",635
17476,1241,77,71.4,77.6,NA,NA,"Foul","SecondHalf","Unsuccessful","Zé Rafael",643
17476,1241,81,67.5,49.2,NA,NA,"Foul","SecondHalf","Unsuccessful","Zé Rafael",654
17476,1241,77,57.1,75.6,67.5,74.5,"Pass","SecondHalf","Unsuccessful","Zé Rafael",638
17476,1241,78,74.4,44.5,76.5,49.5,"Pass","SecondHalf","Successful","Zé Rafael",647
17476,1241,84,44.9,67.6,NA,NA,"BallRecovery","SecondHalf","Successful","Zé Rafael",684
17476,1241,78,0,0,NA,NA,"Card","SecondHalf","Successful","Zé Rafael",651
17476,1241,78,73.4,65,NA,NA,"Foul","SecondHalf","Unsuccessful","Zé Rafael",650
50835,1241,78,77.8,49.7,NA,NA,"TakeOn","SecondHalf","Unsuccessful","Neymar",648
50835,1241,46,67.2,37.2,NA,NA,"BallTouch","FirstHalf","Successful","Neymar",394
50835,1241,10,65.6,47.1,72.4,89.7,"Pass","FirstHalf","Successful","Neymar",83
50835,1241,0,47.4,55,58.5,27.8,"Pass","FirstHalf","Successful","Neymar",4
50835,1241,82,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Neymar",663
50835,1241,1,61.4,48.3,71,73.3,"Pass","FirstHalf","Unsuccessful","Neymar",402
50835,1241,54,58.4,70.6,62,100,"Pass","SecondHalf","Unsuccessful","Neymar",513
50835,1241,46,37.5,13.9,30.4,9.7,"Pass","SecondHalf","Successful","Neymar",425
50835,1241,32,63.4,35.4,78,82.8,"Pass","FirstHalf","Successful","Neymar",277
50835,1241,16,63.6,42.9,61.2,40.9,"Pass","FirstHalf","Successful","Neymar",135
50835,1241,23,72.2,57.4,75.6,45.6,"Pass","FirstHalf","Unsuccessful","Neymar",209
50835,1241,75,88,49.1,NA,NA,"TakeOn","SecondHalf","Unsuccessful","Neymar",628
50835,1241,23,71.4,61.2,NA,NA,"BallRecovery","FirstHalf","Successful","Neymar",208
50835,1241,10,58.4,66.9,73.3,6.6,"Pass","FirstHalf","Successful","Neymar",90
50835,1241,22,46.6,42.1,37.8,68.2,"Pass","FirstHalf","Successful","Neymar",201
50835,1241,77,73.1,86.4,71.8,78.6,"Pass","SecondHalf","Unsuccessful","Neymar",642
50835,1241,63,29.8,96.3,11.4,91.5,"Pass","SecondHalf","Successful","Neymar",576
50835,1241,7,66.6,27.2,NA,NA,"Foul","FirstHalf","Successful","Neymar",72
50835,1241,46,97.1,54.4,NA,NA,"MissedShots","SecondHalf","Successful","Neymar",439
50835,1241,39,77.4,69,NA,NA,"Dispossessed","FirstHalf","Successful","Neymar",344
50835,1241,30,56.9,58.5,NA,NA,"MissedShots","FirstHalf","Successful","Neymar",269
50835,1241,19,40.5,67,86.1,94.8,"Pass","FirstHalf","Successful","Neymar",170
50835,1241,2,37.5,54.6,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Neymar",29
50835,1241,46,69.2,56.5,71.8,60,"Pass","SecondHalf","Successful","Neymar",435
50835,1241,55,86.1,51.8,NA,NA,"Goal","SecondHalf","Successful","Neymar",531
50835,1241,16,75.3,75.3,NA,NA,"BallTouch","FirstHalf","Successful","Neymar",140
50835,1241,54,65.2,86.2,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Neymar",517
50835,1241,3,74.2,89.6,NA,NA,"TakeOn","FirstHalf","Successful","Neymar",47
50835,1241,4,79.4,80.1,80.1,68.2,"Pass","FirstHalf","Successful","Neymar",48
50835,1241,66,44.7,30.4,NA,NA,"Foul","SecondHalf","Successful","Neymar",598
50835,1241,62,31,71.5,29,24.4,"Pass","SecondHalf","Successful","Neymar",564
50835,1241,72,88.5,50,NA,NA,"Goal","SecondHalf","Successful","Neymar",613
50835,1241,21,32.4,70.5,NA,NA,"Dispossessed","FirstHalf","Successful","Neymar",184
50835,1241,59,38.5,59.7,41.4,46.5,"Pass","SecondHalf","Successful","Neymar",542
50835,1241,25,57.2,53.4,63.8,54.9,"Pass","FirstHalf","Successful","Neymar",228
50835,1241,14,55.7,85,65.3,87.3,"Pass","FirstHalf","Successful","Neymar",108
50835,1241,28,67.3,52.2,78.3,47.4,"Pass","FirstHalf","Unsuccessful","Neymar",240
50835,1241,14,68.9,64.2,78.3,16.5,"Pass","FirstHalf","Successful","Neymar",110
50835,1241,46,87.6,59.8,NA,NA,"TakeOn","FirstHalf","Unsuccessful","Neymar",389
50835,1241,3,69.8,81.9,70.3,78.7,"Pass","FirstHalf","Successful","Neymar",41
50835,1241,64,92.6,65.8,NA,NA,"Goal","SecondHalf","Successful","Neymar",591
50835,1241,74,62.9,72.4,76.9,82.6,"Pass","SecondHalf","Unsuccessful","Neymar",619
50835,1241,3,76.8,100,64.4,94,"Pass","FirstHalf","Successful","Neymar",44
50835,1241,46,75.2,52.3,77.4,43.5,"Pass","FirstHalf","Successful","Neymar",386
50835,1241,55,71,54.1,88.7,68.4,"Pass","SecondHalf","Successful","Neymar",529
50835,1241,75,78.6,63.6,85.2,69.9,"Pass","SecondHalf","Successful","Neymar",626
50835,1241,46,87.4,60.7,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Neymar",390
50835,1241,61,33.3,67.9,25.3,64.8,"Pass","SecondHalf","Successful","Neymar",561
50835,1241,75,73.3,66.9,NA,NA,"TakeOn","SecondHalf","Successful","Neymar",625
50835,1241,16,74.7,75.3,75.3,75.3,"Pass","FirstHalf","Unsuccessful","Neymar",139
50835,1241,11,78.2,59.8,NA,NA,"Foul","FirstHalf","Unsuccessful","Neymar",94
50835,1241,75,70.5,69.4,NA,NA,"BallRecovery","SecondHalf","Successful","Neymar",624
110695,1241,49,69.6,55.3,NA,NA,"Foul","SecondHalf","Unsuccessful","Willian Arão",469
110695,1241,46,20.2,6.7,NA,NA,"Interception","FirstHalf","Successful","Willian Arão",398
110695,1241,7,14.3,92.8,NA,NA,"Challenge","FirstHalf","Unsuccessful","Willian Arão",67
110695,1241,21,32.3,71.8,NA,NA,"Tackle","FirstHalf","Unsuccessful","Willian Arão",185
110695,1241,88,26,31.9,29.1,15.7,"Pass","SecondHalf","Successful","Willian Arão",710
110695,1241,36,2.2,68.4,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Willian Arão",305
110695,1241,40,59.2,3,NA,NA,"BallTouch","FirstHalf","Successful","Willian Arão",348
110695,1241,38,32.2,56.5,37,69.6,"Pass","FirstHalf","Successful","Willian Arão",330
110695,1241,51,38.8,44.5,43.3,21.7,"Pass","SecondHalf","Successful","Willian Arão",484
110695,1241,25,22.9,46.3,24.2,68.7,"Pass","FirstHalf","Successful","Willian Arão",222
110695,1241,40,59,12.6,NA,NA,"Challenge","FirstHalf","Unsuccessful","Willian Arão",349
110695,1241,28,57.4,44.5,45.5,33.6,"Pass","FirstHalf","Successful","Willian Arão",248
