"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73798,52,4,2.5,45.6,47.3,33,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",42
73798,52,86,11,48.6,NA,NA,"Aerial","SecondHalf","Successful","Thibaut Courtois",930
73798,52,86,4.4,51.7,NA,NA,"Claim","SecondHalf","Unsuccessful","Thibaut Courtois",855
73798,52,1,3.7,63.8,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",8
73798,52,73,19.3,51.9,30,64.3,"Pass","SecondHalf","Successful","Thibaut Courtois",710
73798,52,32,8.9,52.5,14,71.6,"Pass","FirstHalf","Successful","Thibaut Courtois",332
73798,52,92,12.3,48.5,25.8,67.6,"Pass","SecondHalf","Successful","Thibaut Courtois",883
73798,52,34,10.9,39.1,11,62.7,"Pass","FirstHalf","Successful","Thibaut Courtois",354
73798,52,26,6.5,50.2,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",312
73798,52,46,1,49.9,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",489
73798,52,85,13.3,36.4,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",833
73798,52,93,21.1,59.7,54.7,55.8,"Clearance","SecondHalf","Successful","Thibaut Courtois",908
73798,52,48,3.2,60.9,31.7,86.1,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",503
73798,52,42,2.2,52.2,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",429
73798,52,45,9.6,57.7,14.4,89.4,"Pass","SecondHalf","Successful","Thibaut Courtois",479
73798,52,40,19.3,26.5,19.8,54.1,"Pass","FirstHalf","Successful","Thibaut Courtois",416
73798,52,37,4.8,55.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",377
73798,52,1,1.6,65.6,NA,NA,"Smother","FirstHalf","Successful","Thibaut Courtois",7
73798,52,14,2.5,46.6,55.5,95.1,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",150
73798,52,36,3.1,49.6,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",370
73798,52,5,32.9,47.2,36.9,58.6,"Pass","FirstHalf","Successful","Thibaut Courtois",55
73798,52,36,14.3,56.4,34.6,96.7,"Pass","FirstHalf","Successful","Thibaut Courtois",372
73798,52,51,1.8,47.7,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",523
73798,52,2,11.2,9.4,71.7,13,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",12
73798,52,66,8.4,51.7,65.9,49,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",639
73798,52,47,0.7,52.5,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",493
73798,52,45,29.8,54.4,66.6,96.6,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",474
73798,52,8,20.3,28.9,NA,NA,"BallRecovery","FirstHalf","Successful","Thibaut Courtois",102
73798,52,24,4,47.2,9.8,28.9,"Pass","FirstHalf","Successful","Thibaut Courtois",276
73798,52,5,14.7,48.9,15,56.2,"Pass","FirstHalf","Successful","Thibaut Courtois",47
73798,52,48,2.9,45.1,15.6,32.2,"Pass","SecondHalf","Successful","Thibaut Courtois",498
73798,52,46,1.4,48.6,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Thibaut Courtois",490
73798,52,17,12.7,51.6,13,67.8,"Pass","FirstHalf","Successful","Thibaut Courtois",196
73798,52,71,6.4,50.5,NA,NA,"BallRecovery","SecondHalf","Successful","Thibaut Courtois",683
73798,52,86,2.4,51.2,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",840
73798,52,1,6.4,54.1,11.7,18,"Pass","FirstHalf","Successful","Thibaut Courtois",9
73798,52,71,5.8,42.4,66.9,33.9,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",684
73798,52,93,21.1,59.7,NA,NA,"KeeperSweeper","SecondHalf","Successful","Thibaut Courtois",907
73798,52,24,9.8,52,13.6,27,"Pass","FirstHalf","Successful","Thibaut Courtois",280
73798,52,46,1.7,47.2,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",468
73798,52,36,3.1,49.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",371
73798,52,86,6.4,50.7,NA,NA,"BallTouch","SecondHalf","Successful","Thibaut Courtois",842
73798,52,84,11.6,57.5,26,83.7,"Pass","SecondHalf","Successful","Thibaut Courtois",823
73798,52,84,4.3,52.7,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",822
73798,52,32,15.1,62.2,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",330
73798,52,5,32.9,47.2,NA,NA,"KeeperSweeper","FirstHalf","Successful","Thibaut Courtois",54
73798,52,62,13.8,52.3,21.5,24.7,"Pass","SecondHalf","Successful","Thibaut Courtois",612
73798,52,24,14.2,37.3,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",278
73798,52,8,15.2,38.8,24.9,25.2,"Pass","FirstHalf","Successful","Thibaut Courtois",103
73798,52,37,7.2,54.7,10.5,74.9,"Pass","FirstHalf","Successful","Thibaut Courtois",378
73798,52,28,4.4,47.1,68.3,9.7,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",318
73798,52,85,14.3,35.4,18.6,47,"Pass","SecondHalf","Successful","Thibaut Courtois",834
73798,52,10,4.5,49.2,61.7,0,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",119
73798,52,29,26.9,61,35.5,86.1,"Clearance","FirstHalf","Successful","Thibaut Courtois",322
73798,52,86,14.1,56,80.8,91.6,"Pass","SecondHalf","Successful","Thibaut Courtois",844
73798,52,91,3,40.3,47.9,23.7,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",879
73798,52,28,26.8,60.6,NA,NA,"KeeperSweeper","FirstHalf","Successful","Thibaut Courtois",321
73798,52,47,3.6,49.7,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Thibaut Courtois",494
73798,52,6,15.1,59.4,92.8,88.3,"Pass","FirstHalf","Successful","Thibaut Courtois",79
73798,52,86,3,52.2,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",936
95408,26,46,98.6,51.4,NA,NA,"CornerAwarded","SecondHalf","Successful","Virgil van Dijk",383
95408,26,83,22.9,68.5,40.8,71.7,"Pass","SecondHalf","Successful","Virgil van Dijk",629
95408,26,24,47.1,74.1,100,18.3,"Pass","FirstHalf","Unsuccessful","Virgil van Dijk",187
95408,26,12,41.1,19.4,NA,NA,"BallRecovery","FirstHalf","Successful","Virgil van Dijk",122
95408,26,83,13.4,90.3,NA,NA,"BallRecovery","SecondHalf","Successful","Virgil van Dijk",624
95408,26,93,39.5,47.4,68.4,42.6,"Pass","SecondHalf","Unsuccessful","Virgil van Dijk",704
95408,26,28,34.4,80.3,47,92.8,"Pass","FirstHalf","Successful","Virgil van Dijk",217
95408,26,83,9.6,83,40,66.4,"Pass","SecondHalf","Unsuccessful","Virgil van Dijk",628
95408,26,27,90.3,48.7,NA,NA,"MissedShots","FirstHalf","Successful","Virgil van Dijk",215
95408,26,12,49.4,57.4,47,28,"Pass","FirstHalf","Successful","Virgil van Dijk",112
95408,26,10,30,95.9,5.1,60.2,"Pass","FirstHalf","Successful","Virgil van Dijk",87
95408,26,46,95.8,51.8,NA,NA,"SavedShot","SecondHalf","Successful","Virgil van Dijk",382
95408,26,23,65.4,69.1,71.1,91.2,"Pass","FirstHalf","Successful","Virgil van Dijk",185
95408,26,71,29.6,69.9,NA,NA,"BallRecovery","SecondHalf","Successful","Virgil van Dijk",549
95408,26,21,31.3,63.8,NA,NA,"Foul","FirstHalf","Unsuccessful","Virgil van Dijk",174
95408,26,24,45,74.9,NA,NA,"BallRecovery","FirstHalf","Successful","Virgil van Dijk",189
95408,26,66,27.8,77,77.5,95.6,"Pass","SecondHalf","Unsuccessful","Virgil van Dijk",513
95408,26,83,10.9,88.2,5.5,63.6,"Pass","SecondHalf","Successful","Virgil van Dijk",625
95408,26,71,53.5,73.5,40.4,35.9,"Pass","SecondHalf","Successful","Virgil van Dijk",560
95408,26,50,63.2,86.5,73.1,76.5,"Pass","SecondHalf","Successful","Virgil van Dijk",419
95408,26,12,57.7,68.3,55.8,44.4,"Pass","FirstHalf","Successful","Virgil van Dijk",109
95408,26,39,11.5,42,16.2,10.1,"Clearance","FirstHalf","Successful","Virgil van Dijk",305
95408,26,24,38.2,64.4,46.2,47,"Pass","FirstHalf","Successful","Virgil van Dijk",195
95408,26,79,33.7,22.9,63.8,28.3,"Pass","SecondHalf","Successful","Virgil van Dijk",603
95408,26,14,46.3,77.9,80.3,11.3,"Pass","FirstHalf","Successful","Virgil van Dijk",147
95408,26,37,38.8,85.8,41.6,81.2,"Pass","FirstHalf","Successful","Virgil van Dijk",278
95408,26,71,53.3,79.6,61.4,89.1,"Pass","SecondHalf","Successful","Virgil van Dijk",558
95408,26,66,35.1,64.3,42,85.2,"Pass","SecondHalf","Successful","Virgil van Dijk",504
95408,26,69,29.7,66.8,35.6,87,"Pass","SecondHalf","Successful","Virgil van Dijk",538
95408,26,12,31.7,25.1,7.7,55.6,"Pass","FirstHalf","Successful","Virgil van Dijk",123
95408,26,24,45.2,74.9,59.7,74.6,"Pass","FirstHalf","Successful","Virgil van Dijk",190
95408,26,4,57,62.9,60.7,62.6,"Pass","FirstHalf","Successful","Virgil van Dijk",47
95408,26,33,36,36.4,70.7,66.2,"Pass","FirstHalf","Successful","Virgil van Dijk",236
95408,26,91,52.8,67.1,75.3,70.5,"Pass","SecondHalf","Unsuccessful","Virgil van Dijk",683
95408,26,27,90.3,48.7,NA,NA,"Aerial","FirstHalf","Successful","Virgil van Dijk",214
95408,26,1,58.5,60.8,64.9,55.3,"Pass","FirstHalf","Successful","Virgil van Dijk",24
95408,26,0,32.7,51.7,87.1,29.1,"Pass","FirstHalf","Unsuccessful","Virgil van Dijk",4
95408,26,56,61,60.8,NA,NA,"Foul","SecondHalf","Unsuccessful","Virgil van Dijk",462
95408,26,14,58.4,65,61.1,52.3,"Pass","FirstHalf","Successful","Virgil van Dijk",134
95408,26,28,15.4,84,9.5,53.6,"Pass","FirstHalf","Successful","Virgil van Dijk",223
95408,26,2,31.2,74.1,NA,NA,"BallRecovery","FirstHalf","Successful","Virgil van Dijk",30
95408,26,43,56,57.6,NA,NA,"Foul","FirstHalf","Unsuccessful","Virgil van Dijk",332
95408,26,2,28.3,72.1,67.8,82.7,"Pass","FirstHalf","Successful","Virgil van Dijk",31
95408,26,71,30.1,67.1,46.2,63.2,"Pass","SecondHalf","Successful","Virgil van Dijk",550
95408,26,66,23.2,74.4,15.7,47.4,"Pass","SecondHalf","Successful","Virgil van Dijk",506
95408,26,24,44.8,75.6,44.6,64.7,"Pass","FirstHalf","Successful","Virgil van Dijk",192
95408,26,49,44.6,83.5,56.1,91.1,"Pass","SecondHalf","Successful","Virgil van Dijk",410
95408,26,58,4.2,57,59.7,35,"Pass","SecondHalf","Unsuccessful","Virgil van Dijk",472
95408,26,70,46,57.7,42.3,74,"Pass","SecondHalf","Successful","Virgil van Dijk",546
108226,26,27,71.1,91.6,NA,NA,"Foul","FirstHalf","Successful","Mohamed Salah",212
108226,26,0,80.4,29.4,79.3,68.6,"Pass","FirstHalf","Successful","Mohamed Salah",11
108226,26,92,29.4,4.6,NA,NA,"Tackle","SecondHalf","Unsuccessful","Mohamed Salah",688
108226,26,53,56.7,14.7,48.7,38.5,"Pass","SecondHalf","Successful","Mohamed Salah",439
