"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
4511,211,93,68.1,27.9,92.7,54.6,"Pass","SecondHalf","Unsuccessful","James Milner",831
4511,211,90,50.7,30.4,NA,NA,"BallRecovery","SecondHalf","Successful","James Milner",788
4511,211,96,70.7,58.3,NA,NA,"Challenge","SecondHalf","Unsuccessful","James Milner",846
4511,211,86,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","James Milner",748
4511,211,91,53.8,70.5,60.6,20.6,"Pass","SecondHalf","Successful","James Milner",801
4511,211,99,27.6,49.9,41.7,68.5,"Pass","SecondHalf","Successful","James Milner",882
4511,211,95,34.8,52.2,47.8,55.1,"Pass","SecondHalf","Successful","James Milner",840
4511,211,91,35.3,80.3,47.4,93,"Pass","SecondHalf","Successful","James Milner",799
4511,211,95,67.1,57.2,82.3,85.7,"Pass","SecondHalf","Successful","James Milner",842
4511,211,92,57.9,14.6,70.3,20.6,"Pass","SecondHalf","Successful","James Milner",822
4511,211,90,51.3,30.6,67.2,45.1,"Pass","SecondHalf","Successful","James Milner",789
4511,211,92,65.5,18.2,78,6.5,"Pass","SecondHalf","Successful","James Milner",812
39308,211,81,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","Danny Welbeck",706
39308,211,97,67.9,30.1,66.3,27.6,"Pass","SecondHalf","Successful","Danny Welbeck",862
39308,211,90,61.2,35.1,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Danny Welbeck",780
39308,211,97,68.7,29.1,60.1,33.7,"Pass","SecondHalf","Successful","Danny Welbeck",860
39308,211,84,72.9,36.4,76.3,37.9,"Pass","SecondHalf","Successful","Danny Welbeck",739
39308,211,93,74.8,69.6,66.2,55.8,"Pass","SecondHalf","Successful","Danny Welbeck",829
39308,211,89,80.8,32.8,77,29.8,"Pass","SecondHalf","Successful","Danny Welbeck",769
39308,211,90,70.4,35.1,67.9,45.2,"Pass","SecondHalf","Unsuccessful","Danny Welbeck",886
86441,211,0,23.8,60.3,2.9,41.2,"Pass","FirstHalf","Successful","Lewis Dunk",13
86441,211,46,29.7,69.3,47,54.9,"Pass","SecondHalf","Successful","Lewis Dunk",387
86441,211,15,4.4,58.7,3.8,47.9,"Pass","FirstHalf","Successful","Lewis Dunk",154
86441,211,90,11.4,92,4.8,65.8,"Pass","SecondHalf","Successful","Lewis Dunk",792
86441,211,25,32.6,63,32.5,42.5,"Pass","FirstHalf","Successful","Lewis Dunk",219
86441,211,46,56.4,93.3,38,74.5,"Pass","FirstHalf","Successful","Lewis Dunk",359
86441,211,31,4.5,59.6,4.6,48.8,"Pass","FirstHalf","Successful","Lewis Dunk",271
86441,211,92,64.3,47.6,56.1,14.3,"Pass","SecondHalf","Successful","Lewis Dunk",821
86441,211,58,30.1,36.6,46.7,13.1,"Pass","SecondHalf","Successful","Lewis Dunk",499
86441,211,15,60.4,75,55.3,47.9,"Pass","FirstHalf","Successful","Lewis Dunk",167
