"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
31826,31,2,43.5,20.3,NA,NA,"Aerial","FirstHalf","Successful","Séamus Coleman",31
31826,31,5,27.5,10.2,37.5,4.9,"Pass","FirstHalf","Successful","Séamus Coleman",53
31826,31,9,0,0,NA,NA,"SubstitutionOff","FirstHalf","Successful","Séamus Coleman",86
31826,31,4,69,4.9,NA,NA,"Challenge","FirstHalf","Unsuccessful","Séamus Coleman",44
31826,31,6,76.5,6.9,99,58,"Pass","FirstHalf","Unsuccessful","Séamus Coleman",78
31826,31,2,44,15.9,NA,NA,"BallTouch","FirstHalf","Successful","Séamus Coleman",32
31826,31,0,60.3,4.6,60.5,26.5,"Pass","FirstHalf","Successful","Séamus Coleman",9
31826,31,4,23.3,44.5,NA,NA,"BallRecovery","FirstHalf","Successful","Séamus Coleman",45
31826,31,1,44.3,11.5,55.8,11.1,"Pass","FirstHalf","Successful","Séamus Coleman",26
31826,31,4,23.6,44.5,21.3,55.8,"Pass","FirstHalf","Successful","Séamus Coleman",46
31826,31,5,37.1,7,32.6,25.3,"Pass","FirstHalf","Successful","Séamus Coleman",55
80464,31,12,14.4,71.2,NA,NA,"Error","FirstHalf","Successful","Idrissa Gueye",104
80464,31,4,68.8,36.8,NA,NA,"Interception","FirstHalf","Successful","Idrissa Gueye",38
80464,31,4,69.4,28.8,72.8,30.1,"Pass","FirstHalf","Successful","Idrissa Gueye",39
80464,31,8,52.1,61,NA,NA,"BallRecovery","FirstHalf","Successful","Idrissa Gueye",80
80464,31,12,9.8,67.6,NA,NA,"BallRecovery","FirstHalf","Successful","Idrissa Gueye",102
80464,31,12,0,0,NA,NA,"Card","FirstHalf","Successful","Idrissa Gueye",106
80464,31,6,69.7,36.9,90.1,25.2,"Pass","FirstHalf","Successful","Idrissa Gueye",68
80464,31,6,53.8,43.6,61.9,51.3,"Pass","FirstHalf","Successful","Idrissa Gueye",66
80464,31,12,9.4,74.4,14.4,71.2,"Pass","FirstHalf","Unsuccessful","Idrissa Gueye",103
80464,31,8,53.4,65.7,59.9,70.6,"Pass","FirstHalf","Successful","Idrissa Gueye",81
80464,31,1,64.6,49.6,72.6,40.5,"Pass","FirstHalf","Successful","Idrissa Gueye",20
80464,31,0,42.5,46.6,47.4,12.9,"Pass","FirstHalf","Unsuccessful","Idrissa Gueye",17
80464,31,0,61.6,31.9,63,55.6,"Pass","FirstHalf","Successful","Idrissa Gueye",10
80464,31,11,69.3,54.3,69.2,30.3,"Pass","FirstHalf","Successful","Idrissa Gueye",93
80464,31,1,71.3,45.1,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Idrissa Gueye",22
88526,32,3,37.1,81.7,38.3,93.7,"Pass","FirstHalf","Successful","Casemiro",35
88526,32,9,39,75.4,NA,NA,"Foul","FirstHalf","Successful","Casemiro",100
88526,32,8,49.5,69.6,41.3,84.3,"Pass","FirstHalf","Successful","Casemiro",82
88526,32,52,66.7,42.6,75.4,91.4,"Pass","SecondHalf","Successful","Casemiro",598
88526,32,4,27.9,67.1,31.2,63.2,"Pass","FirstHalf","Unsuccessful","Casemiro",55
88526,32,21,66.3,69.3,66.2,42.7,"Pass","FirstHalf","Successful","Casemiro",224
88526,32,0,57,76.8,69.5,76.5,"Pass","FirstHalf","Successful","Casemiro",9
88526,32,17,20.9,11.8,NA,NA,"BallRecovery","FirstHalf","Successful","Casemiro",161
88526,32,31,70.2,63.5,65.2,73.5,"Pass","FirstHalf","Successful","Casemiro",286
88526,32,46,73,45.6,84.9,47,"Pass","SecondHalf","Successful","Casemiro",518
88526,32,57,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Casemiro",646
88526,32,45,39.9,59.2,43.9,47.4,"Pass","FirstHalf","Unsuccessful","Casemiro",455
88526,32,48,58,59.9,42.5,100,"Pass","FirstHalf","Unsuccessful","Casemiro",479
88526,32,45,42,52.4,47.6,18.3,"Pass","SecondHalf","Successful","Casemiro",487
88526,32,50,78.7,71.1,71.6,74.4,"Pass","SecondHalf","Successful","Casemiro",567
88526,32,15,55.7,29.7,65.5,46.5,"Pass","FirstHalf","Successful","Casemiro",141
88526,32,32,42,43.3,NA,NA,"BallTouch","FirstHalf","Successful","Casemiro",306
88526,32,1,40.2,75.5,NA,NA,"Foul","FirstHalf","Unsuccessful","Casemiro",22
88526,32,8,45.2,53.8,45.2,72.1,"Pass","FirstHalf","Successful","Casemiro",79
88526,32,48,35,31.2,NA,NA,"Foul","SecondHalf","Unsuccessful","Casemiro",546
88526,32,51,65.5,92.6,60.3,94.7,"Pass","SecondHalf","Successful","Casemiro",576
88526,32,31,63.1,28.9,53.5,42.6,"Pass","FirstHalf","Successful","Casemiro",294
88526,32,17,28.6,3,NA,NA,"BlockedPass","FirstHalf","Successful","Casemiro",163
88526,32,21,66.1,72.9,NA,NA,"BallRecovery","FirstHalf","Successful","Casemiro",223
88526,32,18,54,44.1,54.8,71.4,"Pass","FirstHalf","Successful","Casemiro",173
88526,32,43,72.5,46.8,80.6,24.8,"Pass","FirstHalf","Successful","Casemiro",435
88526,32,2,29.5,95.2,NA,NA,"BallTouch","FirstHalf","Successful","Casemiro",30
88526,32,45,39.9,59.2,NA,NA,"Aerial","FirstHalf","Successful","Casemiro",454
88526,32,20,61.2,63.5,70.4,63.2,"Pass","FirstHalf","Successful","Casemiro",205
88526,32,10,39.4,70,31.1,82.6,"Pass","FirstHalf","Successful","Casemiro",107
