"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
88526,32,57,76.8,32.3,NA,NA,"SavedShot","SecondHalf","Successful","Casemiro",627
88526,32,37,69.9,73.7,74.2,67.6,"Pass","FirstHalf","Successful","Casemiro",407
88526,32,45,6.4,45.4,NA,NA,"Foul","FirstHalf","Successful","Casemiro",483
88526,32,71,56,79.3,64.9,93.8,"Pass","SecondHalf","Successful","Casemiro",739
88526,32,49,53,90.9,66.2,87.1,"Pass","SecondHalf","Successful","Casemiro",552
88526,32,76,34.9,54.2,NA,NA,"Aerial","SecondHalf","Successful","Casemiro",1009
88526,32,44,11.2,52.6,NA,NA,"BallRecovery","FirstHalf","Successful","Casemiro",474
88526,32,80,58.7,84.4,70.7,90.5,"Pass","SecondHalf","Successful","Casemiro",837
88526,32,49,36.7,71.1,NA,NA,"BallRecovery","SecondHalf","Successful","Casemiro",545
88526,32,63,54.6,69.9,51.9,60.8,"Pass","SecondHalf","Successful","Casemiro",673
88526,32,61,38.4,38,70.7,13.5,"Pass","SecondHalf","Unsuccessful","Casemiro",650
88526,32,80,67.6,78.5,66.1,65.2,"Pass","SecondHalf","Successful","Casemiro",842
88526,32,80,63.7,83.5,71.7,80,"Pass","SecondHalf","Successful","Casemiro",839
88526,32,53,70.7,35,NA,NA,"Foul","SecondHalf","Successful","Casemiro",590
88526,32,25,31.5,97.5,NA,NA,"BlockedPass","FirstHalf","Successful","Casemiro",247
88526,32,78,38.4,72.7,54.8,69.9,"Pass","SecondHalf","Successful","Casemiro",809
88526,32,44,11.2,52.6,25.7,40.6,"Pass","FirstHalf","Successful","Casemiro",475
88526,32,2,54.6,86.8,63.6,85.3,"Pass","FirstHalf","Successful","Casemiro",34
88526,32,1,62.2,23.6,70.7,56.5,"Pass","FirstHalf","Successful","Casemiro",25
88526,32,56,68.4,75.1,NA,NA,"Aerial","SecondHalf","Unsuccessful","Casemiro",605
88526,32,5,15.4,49.6,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Casemiro",87
88526,32,85,29.8,69.9,40.7,40.4,"Pass","SecondHalf","Successful","Casemiro",887
88526,32,75,33.7,74.8,NA,NA,"Challenge","SecondHalf","Unsuccessful","Casemiro",777
88526,32,90,90.5,12.6,90.2,17.7,"Pass","SecondHalf","Unsuccessful","Casemiro",953
88526,32,52,26,67.7,NA,NA,"BallRecovery","SecondHalf","Successful","Casemiro",575
88526,32,57,46.1,33.5,46.5,68.8,"Pass","SecondHalf","Successful","Casemiro",619
88526,32,14,38.1,72.9,32.6,31.2,"Pass","FirstHalf","Successful","Casemiro",156
88526,32,91,88,23.5,95.4,47.3,"Pass","SecondHalf","Unsuccessful","Casemiro",960
88526,32,9,72.5,44.8,NA,NA,"Foul","FirstHalf","Unsuccessful","Casemiro",114
88526,32,51,31.2,76.9,32.9,78.5,"Pass","SecondHalf","Unsuccessful","Casemiro",572
88526,32,74,44.6,74.6,45.9,74.2,"Pass","SecondHalf","Unsuccessful","Casemiro",766
88526,32,90,89.4,35.7,NA,NA,"BallTouch","SecondHalf","Successful","Casemiro",949
88526,32,74,50.1,71.5,NA,NA,"Aerial","SecondHalf","Successful","Casemiro",765
88526,32,53,32.1,90.9,32.9,68.8,"Pass","SecondHalf","Successful","Casemiro",585
88526,32,56,64.1,77.3,NA,NA,"BallTouch","SecondHalf","Successful","Casemiro",606
88526,32,29,54.7,56.8,NA,NA,"Dispossessed","FirstHalf","Successful","Casemiro",292
88526,32,52,26,67.7,30.4,37,"Pass","SecondHalf","Successful","Casemiro",576
88526,32,79,56.2,71.2,64.3,84.7,"Pass","SecondHalf","Successful","Casemiro",831
88526,32,22,52.6,67.1,NA,NA,"BallTouch","FirstHalf","Successful","Casemiro",220
88526,32,26,62.9,33.3,72.7,12.6,"Pass","FirstHalf","Successful","Casemiro",261
88526,32,51,32.8,81.2,NA,NA,"Aerial","SecondHalf","Successful","Casemiro",571
88526,32,71,61.6,89.4,NA,NA,"Tackle","SecondHalf","Successful","Casemiro",743
88526,32,30,42,55.9,44.8,26.2,"Pass","FirstHalf","Successful","Casemiro",311
88526,32,31,40.8,65.5,NA,NA,"Aerial","FirstHalf","Unsuccessful","Casemiro",321
88526,32,87,36.3,82.1,35.9,90.9,"Pass","SecondHalf","Successful","Casemiro",900
88526,32,35,37.8,82.1,45.8,76.4,"Pass","FirstHalf","Successful","Casemiro",385
