"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
4511,211,79,56.7,63,54.6,76.9,"Pass","SecondHalf","Successful","James Milner",810
4511,211,63,22.9,33.9,27.2,54,"Pass","SecondHalf","Successful","James Milner",662
4511,211,91,99.5,0.5,96,44.1,"Pass","SecondHalf","Successful","James Milner",941
4511,211,79,52,57.3,64,69.4,"Pass","SecondHalf","Successful","James Milner",812
4511,211,65,51.9,56.5,75.7,70.5,"Pass","SecondHalf","Successful","James Milner",684
4511,211,60,25.8,66.7,20.2,58.5,"Pass","SecondHalf","Successful","James Milner",641
4511,211,74,14,37.9,31.5,47.4,"Pass","SecondHalf","Successful","James Milner",731
4511,211,74,34.7,49.5,53.7,44.8,"Pass","SecondHalf","Successful","James Milner",739
4511,211,84,60,72.4,59.1,32.7,"Pass","SecondHalf","Successful","James Milner",863
4511,211,58,0,0,NA,NA,"SubstitutionOn","SecondHalf","Successful","James Milner",630
4511,211,65,37.4,47.4,32.5,51.9,"Pass","SecondHalf","Successful","James Milner",679
4511,211,74,14,37.9,NA,NA,"BallRecovery","SecondHalf","Successful","James Milner",730
4511,211,86,21.5,17.2,22.6,5.7,"Pass","SecondHalf","Successful","James Milner",889
4511,211,88,91.6,4.5,87.9,44.4,"Pass","SecondHalf","Successful","James Milner",902
4511,211,67,30.2,62.4,24.7,70.6,"Pass","SecondHalf","Successful","James Milner",693
4511,211,77,54.9,22,51.8,56.1,"Pass","SecondHalf","Successful","James Milner",777
4511,211,88,15.3,74.1,NA,NA,"BlockedPass","SecondHalf","Successful","James Milner",916
4511,211,79,59.4,57.6,68.6,88.6,"Pass","SecondHalf","Successful","James Milner",806
4511,211,67,46.2,58.9,27,64.9,"Pass","SecondHalf","Successful","James Milner",688
4511,211,95,20.4,74.2,45.7,57.7,"Clearance","SecondHalf","Successful","James Milner",980
4511,211,68,61.4,70.5,64.2,60.7,"Pass","SecondHalf","Successful","James Milner",703
4511,211,60,25.8,66.7,NA,NA,"BallRecovery","SecondHalf","Successful","James Milner",640
