"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
69877,183,45,43.6,18.9,48.1,0,"Clearance","FirstHalf","Successful","Adam Smith",347
69877,183,21,30.4,7.4,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Adam Smith",150
69877,183,70,12.2,11.6,65.7,0,"Pass","SecondHalf","Unsuccessful","Adam Smith",563
69877,183,70,12.2,11.6,NA,NA,"BallRecovery","SecondHalf","Successful","Adam Smith",562
69877,183,93,34.8,0,56.8,4.6,"Pass","SecondHalf","Unsuccessful","Adam Smith",695
69877,183,22,25.7,31.5,39,31.8,"Pass","FirstHalf","Unsuccessful","Adam Smith",157
69877,183,45,43.6,18.9,NA,NA,"Aerial","FirstHalf","Successful","Adam Smith",346
69877,183,72,98.9,12.2,93.8,48.7,"Pass","SecondHalf","Unsuccessful","Adam Smith",577
69877,183,54,45.3,29.2,NA,NA,"Foul","SecondHalf","Unsuccessful","Adam Smith",456
69877,183,19,44.3,21.2,95.7,13.5,"Pass","FirstHalf","Successful","Adam Smith",143
69877,183,53,64.3,11.6,73.8,7.6,"Pass","SecondHalf","Successful","Adam Smith",436
69877,183,12,55.6,33.8,NA,NA,"Foul","FirstHalf","Unsuccessful","Adam Smith",97
69877,183,26,39.4,37.4,36.4,64.3,"Pass","FirstHalf","Successful","Adam Smith",195
69877,183,90,54.8,0,69.7,10.2,"Pass","SecondHalf","Successful","Adam Smith",673
69877,183,53,62.8,22.7,62.1,31.4,"Pass","SecondHalf","Successful","Adam Smith",434
69877,183,72,98.4,49.2,NA,NA,"CornerAwarded","SecondHalf","Successful","Adam Smith",578
69877,183,57,52.9,4.4,64.9,0,"Pass","SecondHalf","Unsuccessful","Adam Smith",481
69877,183,95,63.4,45.6,76.9,52.1,"Pass","SecondHalf","Unsuccessful","Adam Smith",715
69877,183,100,12.2,43,13.4,40.1,"Clearance","SecondHalf","Successful","Adam Smith",739
69877,183,98,36.5,0,63,6.6,"Pass","SecondHalf","Successful","Adam Smith",722
69877,183,49,66.1,49,93.8,85.2,"Pass","SecondHalf","Unsuccessful","Adam Smith",409
69877,183,58,15.5,0,29.1,4.7,"Pass","SecondHalf","Successful","Adam Smith",485
69877,183,88,92.5,18.6,89.1,46,"Pass","SecondHalf","Unsuccessful","Adam Smith",652
69877,183,87,60.8,18.4,NA,NA,"Foul","SecondHalf","Unsuccessful","Adam Smith",635
69877,183,86,34.2,8.3,NA,NA,"Interception","SecondHalf","Successful","Adam Smith",630
69877,183,74,21.2,32.6,NA,NA,"Foul","SecondHalf","Unsuccessful","Adam Smith",588
69877,183,85,54,0,68.2,7.5,"Pass","SecondHalf","Successful","Adam Smith",624
69877,183,85,24.8,23,NA,NA,"BallRecovery","SecondHalf","Successful","Adam Smith",688
69877,183,30,68.3,5.2,59.1,19.8,"Pass","FirstHalf","Successful","Adam Smith",246
69877,183,88,86.3,36.5,75.5,36.3,"Pass","SecondHalf","Successful","Adam Smith",650
69877,183,33,41.6,11.6,NA,NA,"Foul","FirstHalf","Unsuccessful","Adam Smith",276
69877,183,98,6.4,41.2,NA,NA,"Aerial","SecondHalf","Unsuccessful","Adam Smith",727
69877,183,47,26.3,11.1,33.5,13.4,"Pass","SecondHalf","Successful","Adam Smith",390
69877,183,28,77.3,5,72,18.1,"Pass","FirstHalf","Successful","Adam Smith",219
69877,183,93,44,9.5,73.8,15.4,"Pass","SecondHalf","Unsuccessful","Adam Smith",698
69877,183,45,57.5,29.8,82.4,53.1,"Pass","FirstHalf","Unsuccessful","Adam Smith",344
69877,183,88,86.3,36.5,NA,NA,"Aerial","SecondHalf","Successful","Adam Smith",649
69877,183,95,62.8,66.6,NA,NA,"Foul","SecondHalf","Successful","Adam Smith",716
69877,183,33,9.3,53,NA,NA,"Save","FirstHalf","Successful","Adam Smith",272
69877,183,72,54.9,7.8,82,9.5,"Pass","SecondHalf","Successful","Adam Smith",575
69877,183,39,59.3,2.6,67.8,7.3,"Pass","FirstHalf","Successful","Adam Smith",319
69877,183,85,25.8,22.4,33.3,12.1,"Pass","SecondHalf","Successful","Adam Smith",691
69877,183,46,9.2,2.6,38.2,9.6,"Pass","FirstHalf","Unsuccessful","Adam Smith",359
69877,183,100,9.1,38,NA,NA,"Aerial","SecondHalf","Successful","Adam Smith",738
69877,183,84,25.3,23.7,37.2,21.8,"Pass","SecondHalf","Unsuccessful","Adam Smith",745
69877,183,12,52.5,38,69.5,38.8,"Pass","FirstHalf","Unsuccessful","Adam Smith",96
69877,183,48,55,46.6,83.2,69.5,"Pass","SecondHalf","Unsuccessful","Adam Smith",404
69877,183,88,86.5,29.2,86.8,32.7,"Pass","SecondHalf","Unsuccessful","Adam Smith",661
69877,183,37,16,28.9,21.2,28.6,"Pass","FirstHalf","Unsuccessful","Adam Smith",304
69877,183,16,64.3,34.5,72,42.7,"Pass","FirstHalf","Unsuccessful","Adam Smith",121
69877,183,77,0,0,NA,NA,"Card","SecondHalf","Successful","Adam Smith",602
88526,32,59,86.5,43,NA,NA,"BallTouch","SecondHalf","Successful","Casemiro",505
88526,32,22,66.8,64,76.3,64.8,"Pass","FirstHalf","Unsuccessful","Casemiro",188
88526,32,25,53.5,50.4,67.4,91.7,"Pass","FirstHalf","Successful","Casemiro",217
88526,32,16,27.1,33.7,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Casemiro",139
88526,32,24,73.7,36.3,76.1,52.1,"Pass","FirstHalf","Successful","Casemiro",209
88526,32,60,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Casemiro",513
88526,32,59,86.6,41.7,NA,NA,"BlockedPass","SecondHalf","Successful","Casemiro",504
88526,32,12,66,58.7,71.9,95,"Pass","FirstHalf","Successful","Casemiro",112
88526,32,27,23.2,65.8,NA,NA,"Challenge","FirstHalf","Unsuccessful","Casemiro",238
88526,32,57,29.4,45.4,NA,NA,"Challenge","SecondHalf","Unsuccessful","Casemiro",475
88526,32,23,93.1,61.4,NA,NA,"Aerial","FirstHalf","Unsuccessful","Casemiro",199
88526,32,33,30.4,65.2,NA,NA,"BallTouch","FirstHalf","Successful","Casemiro",300
88526,32,9,33.2,19.1,61.7,13.1,"Pass","FirstHalf","Unsuccessful","Casemiro",86
88526,32,27,22.4,69.6,4.7,56.4,"Pass","FirstHalf","Successful","Casemiro",235
