"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73798,52,25,14.7,48.1,44.8,47.1,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",247
73798,52,23,4.8,53.7,5.2,10,"Pass","FirstHalf","Successful","Thibaut Courtois",218
73798,52,48,14.4,58.5,30.2,90.1,"Pass","SecondHalf","Successful","Thibaut Courtois",539
73798,52,70,10,49.2,NA,NA,"Foul","SecondHalf","Successful","Thibaut Courtois",743
73798,52,94,3.8,53.8,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",926
73798,52,47,9.9,50.5,13.5,27,"Pass","SecondHalf","Successful","Thibaut Courtois",521
73798,52,61,8.3,48,19.7,63.1,"Pass","SecondHalf","Successful","Thibaut Courtois",679
73798,52,46,13.9,61.6,21.7,61,"Pass","FirstHalf","Successful","Thibaut Courtois",473
73798,52,83,20.6,36.1,19.6,63.6,"Pass","SecondHalf","Successful","Thibaut Courtois",844
73798,52,89,6.2,71.2,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",901
73798,52,79,24.2,3.3,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Thibaut Courtois",812
73798,52,3,3.1,51.1,14.9,57,"Pass","FirstHalf","Successful","Thibaut Courtois",38
73798,52,32,20.8,50.8,23.6,76.8,"Pass","FirstHalf","Successful","Thibaut Courtois",321
73798,52,26,3.4,50.5,44.2,48,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",253
73798,52,79,29.8,15.3,NA,NA,"KeeperSweeper","SecondHalf","Successful","Thibaut Courtois",811
73798,52,69,2.4,51,9.5,15.7,"Pass","SecondHalf","Successful","Thibaut Courtois",738
73798,52,20,7.4,45.6,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",497
73798,52,94,2.5,47.7,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",930
73798,52,89,6.6,70.2,30.5,64.9,"Pass","SecondHalf","Successful","Thibaut Courtois",902
73798,52,55,12.3,54,15.8,35.5,"Pass","SecondHalf","Successful","Thibaut Courtois",627
73798,52,24,14.5,50.4,23.9,44.7,"Pass","FirstHalf","Successful","Thibaut Courtois",228
73798,52,69,10,27.7,20.1,67.2,"Pass","SecondHalf","Successful","Thibaut Courtois",736
73798,52,23,19.4,52.2,20.5,37.3,"Pass","FirstHalf","Successful","Thibaut Courtois",226
73798,52,60,1.4,48.6,13.3,31.6,"Pass","SecondHalf","Successful","Thibaut Courtois",666
73798,52,60,2.6,52.2,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",665
73798,52,32,11.1,27.7,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",318
73798,52,4,3.4,48.3,8.8,16.8,"Pass","FirstHalf","Successful","Thibaut Courtois",51
73798,52,46,14.8,58.9,NA,NA,"BallRecovery","FirstHalf","Successful","Thibaut Courtois",472
73798,52,94,2.5,47.7,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",929
73798,52,41,18.7,45.4,22.6,63.7,"Pass","FirstHalf","Successful","Thibaut Courtois",448
73798,52,13,14.1,75,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",155
73798,52,8,20.3,29.1,86.8,42.1,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",87
73798,52,48,14.4,58.5,NA,NA,"BallRecovery","SecondHalf","Successful","Thibaut Courtois",538
73798,52,92,34.6,59.8,85.9,13.6,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",921
73798,52,5,29.1,54.1,42.7,82.8,"Pass","FirstHalf","Successful","Thibaut Courtois",61
73798,52,13,13.9,74.4,21.5,58.2,"Pass","FirstHalf","Successful","Thibaut Courtois",156
73798,52,60,2.6,52.2,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",664
73798,52,6,9.4,55.3,13.9,37.8,"Pass","FirstHalf","Successful","Thibaut Courtois",68
73798,52,32,12.5,36,19.8,32.5,"Pass","FirstHalf","Successful","Thibaut Courtois",319
73798,52,38,30.6,39.6,51.7,12.7,"Pass","FirstHalf","Successful","Thibaut Courtois",415
73798,52,86,9.2,59.7,26.1,25.9,"Pass","SecondHalf","Successful","Thibaut Courtois",871
73798,52,0,10.3,75,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",4
73798,52,25,21.6,47.2,20,33.6,"Pass","FirstHalf","Successful","Thibaut Courtois",245
73798,52,1,11.6,60.3,24.9,45.4,"Pass","FirstHalf","Successful","Thibaut Courtois",8
73798,52,13,14.1,75,NA,NA,"KeeperSweeper","FirstHalf","Successful","Thibaut Courtois",154
73798,52,92,9,50,NA,NA,"Challenge","SecondHalf","Unsuccessful","Thibaut Courtois",920
73798,52,94,12.5,46.6,29.4,18.6,"Pass","SecondHalf","Successful","Thibaut Courtois",927
73798,52,45,28.9,53.4,35.4,66,"Pass","SecondHalf","Successful","Thibaut Courtois",500
73798,52,88,10.1,71.1,31,78.3,"Pass","SecondHalf","Successful","Thibaut Courtois",890
73798,52,55,11.1,55,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",626
73798,52,23,1.2,34,39.7,7.2,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",221
73798,52,88,10.1,71.1,NA,NA,"BallRecovery","SecondHalf","Successful","Thibaut Courtois",889
73798,52,40,4.6,54,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",442
84008,62,90,32.5,81.9,36.8,70.3,"Pass","SecondHalf","Successful","Marcos Alonso",734
84008,62,65,58.1,86.8,56.2,69.9,"Pass","SecondHalf","Successful","Marcos Alonso",506
