"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73798,52,12,2.5,42.1,47.5,48.1,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",104
73798,52,11,12.7,45.3,11.7,17.5,"Pass","FirstHalf","Successful","Thibaut Courtois",87
73798,52,36,4.4,61.2,67.6,86.2,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",277
73798,52,44,20.6,52.3,68.1,90.7,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",328
73798,52,12,2.5,42.1,NA,NA,"BallRecovery","FirstHalf","Successful","Thibaut Courtois",103
73798,52,51,1.8,52.2,61.4,75.1,"Pass","SecondHalf","Successful","Thibaut Courtois",428
73798,52,42,0,0,NA,NA,"PenaltyFaced","FirstHalf","Unsuccessful","Thibaut Courtois",326
73798,52,66,25.3,42.4,34.8,9.7,"Pass","SecondHalf","Successful","Thibaut Courtois",564
73798,52,34,1.6,50.4,NA,NA,"Error","FirstHalf","Successful","Thibaut Courtois",272
73798,52,21,14.8,43.8,18.1,39.3,"Pass","FirstHalf","Successful","Thibaut Courtois",180
73798,52,45,0.8,53.8,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",336
73798,52,5,11.2,47.5,10.8,9.6,"Pass","FirstHalf","Successful","Thibaut Courtois",37
73798,52,46,8.9,39.9,19.4,42,"Pass","SecondHalf","Successful","Thibaut Courtois",384
73798,52,36,24.1,52.2,25.8,14.5,"Pass","FirstHalf","Successful","Thibaut Courtois",290
73798,52,51,1.8,52.2,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",427
73798,52,18,9.8,48.9,11.2,23.1,"Pass","FirstHalf","Successful","Thibaut Courtois",165
73798,52,14,8.4,50.1,21.6,46.3,"Pass","FirstHalf","Successful","Thibaut Courtois",122
73798,52,73,7.2,49.8,15.4,23.2,"Pass","SecondHalf","Successful","Thibaut Courtois",650
73798,52,31,4.3,52,57.5,61.2,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",251
73798,52,45,1.1,50,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",335
73798,52,82,3.9,44.2,33.5,9.3,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",722
73798,52,28,20.5,39.9,NA,NA,"KeeperSweeper","FirstHalf","Successful","Thibaut Courtois",240
73798,52,28,20.5,39.9,23.7,3.4,"Clearance","FirstHalf","Successful","Thibaut Courtois",241
73798,52,46,7.7,49.3,8.4,82.8,"Pass","FirstHalf","Successful","Thibaut Courtois",342
73798,52,92,21.1,44.5,86.6,44.4,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",821
73798,52,51,1,52.7,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",426
73798,52,45,19.2,49.5,26.9,20.2,"Pass","SecondHalf","Successful","Thibaut Courtois",370
73798,52,82,10.1,48.6,11,75.9,"Pass","SecondHalf","Successful","Thibaut Courtois",717
73798,52,93,13.6,63.1,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",830
73798,52,58,3.4,49.9,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",503
73798,52,46,3,47,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",340
73798,52,39,4.8,52.5,35.8,94.5,"Pass","FirstHalf","Successful","Thibaut Courtois",316
73798,52,82,2.6,45.6,NA,NA,"BallRecovery","SecondHalf","Successful","Thibaut Courtois",726
73798,52,61,1.6,48.5,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",523
73798,52,13,3.9,49.6,55.9,2.8,"Pass","FirstHalf","Successful","Thibaut Courtois",109
73798,52,34,1,50.2,NA,NA,"Save","FirstHalf","Successful","Thibaut Courtois",270
73798,52,38,9.7,49.9,25.4,67.2,"Pass","FirstHalf","Successful","Thibaut Courtois",300
73798,52,38,13,49.2,16.9,18.4,"Pass","FirstHalf","Successful","Thibaut Courtois",312
73798,52,91,8.9,52,26.9,81.4,"Pass","SecondHalf","Successful","Thibaut Courtois",810
73798,52,11,4.6,34.9,42.2,3,"Pass","FirstHalf","Successful","Thibaut Courtois",89
73798,52,91,8.9,52,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",809
73798,52,83,13.7,72.6,NA,NA,"BallRecovery","SecondHalf","Successful","Thibaut Courtois",738
73798,52,67,7.9,29.2,36,0,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",573
73798,52,37,4.3,50.9,41.5,86.7,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",292
73798,52,47,21,57.4,67.2,56.2,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",355
73798,52,93,15.6,64.3,78.6,13.3,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",832
73798,52,45,31.3,50.8,79,76.3,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",366
73798,52,83,17.7,61.9,29.6,35.7,"Pass","SecondHalf","Successful","Thibaut Courtois",739
73798,52,61,5.2,43.2,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Thibaut Courtois",524
73798,52,66,22,43.8,24.8,19.6,"Pass","SecondHalf","Successful","Thibaut Courtois",566
73798,52,50,18.4,49.3,20.8,19.9,"Pass","SecondHalf","Successful","Thibaut Courtois",418
73798,52,83,24.1,50.2,40.3,63.1,"Pass","SecondHalf","Successful","Thibaut Courtois",731
73798,52,24,12.3,56.1,63.6,88.6,"Pass","FirstHalf","Unsuccessful","Thibaut Courtois",226
73798,52,52,21.3,55.9,33.2,37,"Pass","SecondHalf","Successful","Thibaut Courtois",440
104010,52,38,28.9,77.7,NA,NA,"BallRecovery","FirstHalf","Successful","Antonio Rüdiger",298
104010,52,14,28.2,70.2,37.5,94.3,"Pass","FirstHalf","Successful","Antonio Rüdiger",119
104010,52,48,29.7,76.3,NA,NA,"BallRecovery","FirstHalf","Successful","Antonio Rüdiger",359
104010,52,78,90.1,26.4,NA,NA,"Aerial","SecondHalf","Unsuccessful","Antonio Rüdiger",698
104010,52,18,34.4,75.3,31.3,44.5,"Pass","FirstHalf","Successful","Antonio Rüdiger",163
104010,52,46,8.4,82.8,22.6,96.4,"Pass","FirstHalf","Successful","Antonio Rüdiger",343
104010,52,0,0.9,93.9,2.2,100,"Clearance","FirstHalf","Successful","Antonio Rüdiger",7
104010,52,14,22.4,76.9,8.6,50.1,"Pass","FirstHalf","Successful","Antonio Rüdiger",121
104010,52,11,37.5,47,NA,NA,"OffsideProvoked","FirstHalf","Successful","Antonio Rüdiger",95
104010,52,53,30.2,74.4,40.5,96.9,"Pass","SecondHalf","Successful","Antonio Rüdiger",455
104010,52,16,58.7,56.2,47.3,73.8,"Pass","FirstHalf","Successful","Antonio Rüdiger",148
104010,52,47,28.3,74.5,NA,NA,"BallTouch","SecondHalf","Successful","Antonio Rüdiger",402
104010,52,0,19.3,91.9,NA,NA,"Tackle","FirstHalf","Successful","Antonio Rüdiger",6
104010,52,24,64,57,75.2,92.5,"Pass","FirstHalf","Successful","Antonio Rüdiger",217
104010,52,46,38,56.8,51.9,91.8,"Pass","SecondHalf","Successful","Antonio Rüdiger",391
104010,52,80,6.5,80.6,NA,NA,"Foul","SecondHalf","Unsuccessful","Antonio Rüdiger",714
104010,52,55,4.3,69.9,NA,NA,"BallRecovery","SecondHalf","Successful","Antonio Rüdiger",514
104010,52,23,14.3,84,58.4,67.5,"Pass","FirstHalf","Unsuccessful","Antonio Rüdiger",197
104010,52,89,34.4,72.4,36.6,34,"Pass","SecondHalf","Successful","Antonio Rüdiger",780
104010,52,52,36.2,75.4,21.3,55.9,"Pass","SecondHalf","Successful","Antonio Rüdiger",439
104010,52,52,26.5,79.6,26.6,47.7,"Pass","SecondHalf","Successful","Antonio Rüdiger",451
104010,52,68,64.6,75.6,64,62.2,"Pass","SecondHalf","Successful","Antonio Rüdiger",591
104010,52,83,26.2,58.2,28.2,33.1,"Pass","SecondHalf","Successful","Antonio Rüdiger",729
104010,52,72,24.7,67.3,28.1,98.2,"Clearance","SecondHalf","Successful","Antonio Rüdiger",641
104010,52,60,48.5,64.9,NA,NA,"Aerial","SecondHalf","Successful","Antonio Rüdiger",515
104010,52,90,35.5,56.8,42.5,13.6,"Pass","SecondHalf","Successful","Antonio Rüdiger",800
104010,52,57,60,91.9,70.2,97.2,"Pass","SecondHalf","Successful","Antonio Rüdiger",493
