"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73379,65,28,2.1,55.6,NA,NA,"Save","FirstHalf","Successful","Wojciech Szczesny",298
73379,65,25,3,50.7,8.1,76.6,"Pass","FirstHalf","Successful","Wojciech Szczesny",263
73379,65,51,0.8,49.6,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",550
73379,65,93,13.4,59.5,22.8,37.9,"Pass","SecondHalf","Successful","Wojciech Szczesny",979
73379,65,36,7.4,52.6,11.2,83.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",368
73379,65,68,11.8,32.1,19.5,25.3,"Pass","SecondHalf","Successful","Wojciech Szczesny",732
73379,65,60,15.9,6.6,26.6,0,"Clearance","SecondHalf","Successful","Wojciech Szczesny",643
73379,65,52,3.9,46.9,5.9,26.8,"Pass","SecondHalf","Successful","Wojciech Szczesny",559
73379,65,36,3.2,51.1,7,32.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",372
73379,65,37,8.7,37.5,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",380
73379,65,93,14.8,61.3,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",977
73379,65,37,8.3,37.8,NA,NA,"Smother","FirstHalf","Successful","Wojciech Szczesny",381
73379,65,97,1.4,51.7,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",1029
73379,65,5,4.5,49,8.2,16.5,"Pass","FirstHalf","Successful","Wojciech Szczesny",30
73379,65,68,7.1,52,9,74.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",728
73379,65,44,4.6,61.8,5.5,31.2,"Pass","FirstHalf","Successful","Wojciech Szczesny",420
73379,65,36,2.9,45.9,45.3,35.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",376
73379,65,94,4.7,48.3,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",996
73379,65,51,0,0,NA,NA,"PenaltyFaced","SecondHalf","Unsuccessful","Wojciech Szczesny",549
73379,65,13,13.3,49.3,21.8,79.9,"Pass","FirstHalf","Successful","Wojciech Szczesny",155
73379,65,75,8.6,47.5,13.3,75,"Pass","SecondHalf","Successful","Wojciech Szczesny",782
73379,65,34,2.7,49.2,NA,NA,"Save","FirstHalf","Successful","Wojciech Szczesny",347
73379,65,39,8.3,52,15.8,32.7,"Punch","FirstHalf","Successful","Wojciech Szczesny",398
73379,65,92,7,42.9,9,18.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",968
73379,65,34,5.5,47.4,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Wojciech Szczesny",348
73379,65,14,3.3,62.5,29.1,100,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",168
73379,65,59,4.1,48,13.2,82.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",632
73379,65,36,2,51.1,NA,NA,"Save","FirstHalf","Successful","Wojciech Szczesny",370
73379,65,94,4.7,48.3,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",995
73379,65,93,14.3,61.5,NA,NA,"KeeperSweeper","SecondHalf","Successful","Wojciech Szczesny",978
73379,65,97,9.6,50.3,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Wojciech Szczesny",1030
73379,65,75,14,23.4,NA,NA,"KeeperPickup","SecondHalf","Successful","Wojciech Szczesny",772
73379,65,36,2,51.1,NA,NA,"KeeperPickup","FirstHalf","Successful","Wojciech Szczesny",371
73379,65,75,13.7,29.5,15.4,48.9,"Pass","SecondHalf","Successful","Wojciech Szczesny",774
73379,65,46,2,46,NA,NA,"Save","SecondHalf","Successful","Wojciech Szczesny",534
73379,65,29,6.2,50.7,25.4,25.8,"Punch","FirstHalf","Successful","Wojciech Szczesny",302
73379,65,88,4.8,51.4,28.7,65.4,"Pass","SecondHalf","Successful","Wojciech Szczesny",931
73379,65,45,4.6,51.7,12.5,86.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",525
73379,65,45,9,50.8,18.2,82.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",517
73379,65,69,14.2,57.9,18.5,68.2,"Pass","SecondHalf","Successful","Wojciech Szczesny",737
73379,65,68,11.8,32.1,NA,NA,"BallRecovery","SecondHalf","Successful","Wojciech Szczesny",731
73379,65,60,16.3,6.6,NA,NA,"BallRecovery","SecondHalf","Successful","Wojciech Szczesny",642
73379,65,47,4.2,49.6,4.2,69.7,"Pass","SecondHalf","Successful","Wojciech Szczesny",538
73379,65,11,15.4,63.6,19.1,35.1,"Pass","FirstHalf","Successful","Wojciech Szczesny",137
73379,65,45,2.7,47.3,NA,NA,"Save","FirstHalf","Successful","Wojciech Szczesny",424
73379,65,51,4.8,49.8,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Wojciech Szczesny",551
73379,65,17,7.9,54.6,14.1,72.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",204
73379,65,22,9,56.5,47.7,79,"Pass","FirstHalf","Unsuccessful","Wojciech Szczesny",246
73379,65,14,7.8,57.1,27.4,12.6,"Pass","FirstHalf","Successful","Wojciech Szczesny",157
73379,65,29,3.8,54.6,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Wojciech Szczesny",301
73379,65,61,13.4,61,36.3,71.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",662
73379,65,94,13.8,57.3,23.1,67.1,"Pass","SecondHalf","Successful","Wojciech Szczesny",997
73379,65,50,12.7,32.8,NA,NA,"BallRecovery","FirstHalf","Successful","Wojciech Szczesny",481
73379,65,75,14.2,24.4,NA,NA,"KeeperSweeper","SecondHalf","Successful","Wojciech Szczesny",773
73379,65,46,3.8,38.7,NA,NA,"CornerAwarded","SecondHalf","Unsuccessful","Wojciech Szczesny",535
73379,65,50,14,32.8,33.3,71.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",482
73379,65,47,9.1,51,19.1,45.9,"Pass","FirstHalf","Successful","Wojciech Szczesny",456
73379,65,45,3.6,47.8,8.7,77.1,"Pass","FirstHalf","Successful","Wojciech Szczesny",426
73379,65,28,4.6,61.6,NA,NA,"CornerAwarded","FirstHalf","Unsuccessful","Wojciech Szczesny",299
73379,65,15,3.3,41.7,7.5,17.4,"Pass","FirstHalf","Successful","Wojciech Szczesny",175
