"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
73798,52,43,22.6,60.2,46.4,17.7,"Pass","FirstHalf","Successful","Thibaut Courtois",466
73798,52,22,7.6,53.6,18.2,92.1,"Pass","FirstHalf","Successful","Thibaut Courtois",204
73798,52,26,37.8,64.3,53,71.7,"Pass","FirstHalf","Successful","Thibaut Courtois",260
73798,52,40,9.1,50.7,28.8,78.4,"Pass","FirstHalf","Successful","Thibaut Courtois",433
73798,52,19,4.1,72.6,35,3.4,"Pass","FirstHalf","Successful","Thibaut Courtois",161
73798,52,62,2.6,50,NA,NA,"Save","SecondHalf","Successful","Thibaut Courtois",771
73798,52,50,19.4,37.1,30.3,62.1,"Pass","FirstHalf","Successful","Thibaut Courtois",529
73798,52,51,12.3,37.3,27.5,80.5,"Pass","SecondHalf","Successful","Thibaut Courtois",652
73798,52,71,3,58.5,14.7,95.3,"Pass","SecondHalf","Successful","Thibaut Courtois",894
73798,52,45,27.3,48.5,38.9,70.8,"Pass","SecondHalf","Successful","Thibaut Courtois",544
73798,52,48,7,32.5,NA,NA,"KeeperPickup","FirstHalf","Successful","Thibaut Courtois",502
73798,52,68,22,58.2,34.1,83.8,"Pass","SecondHalf","Successful","Thibaut Courtois",845
73798,52,6,9.5,52.4,18.4,31,"Pass","FirstHalf","Successful","Thibaut Courtois",47
73798,52,86,2.4,54,13.3,53.4,"Pass","SecondHalf","Successful","Thibaut Courtois",1059
73798,52,85,3.2,49.9,NA,NA,"KeeperPickup","SecondHalf","Successful","Thibaut Courtois",1053
73798,52,51,7.8,50.6,20.7,33.9,"Pass","SecondHalf","Successful","Thibaut Courtois",658
73798,52,71,25,50,33.9,23.9,"Pass","SecondHalf","Successful","Thibaut Courtois",909
73798,52,63,4.4,52.8,65.3,32.7,"Pass","SecondHalf","Unsuccessful","Thibaut Courtois",775
73798,52,48,11.7,44.3,39,68.7,"Pass","FirstHalf","Successful","Thibaut Courtois",503
73798,52,32,21.1,40.9,32.2,51.6,"Pass","FirstHalf","Successful","Thibaut Courtois",319
73798,52,3,15.9,41.3,29.4,2.6,"Pass","FirstHalf","Successful","Thibaut Courtois",25
73798,52,76,8.7,52.4,22.7,51.2,"Pass","SecondHalf","Successful","Thibaut Courtois",972
73798,52,59,31.8,49.4,37.7,28.5,"Pass","SecondHalf","Successful","Thibaut Courtois",751
119817,55,29,48,89.1,53.1,68.8,"Pass","FirstHalf","Unsuccessful","José Gayà",231
119817,55,25,6.6,80.6,NA,NA,"Tackle","FirstHalf","Unsuccessful","José Gayà",178
119817,55,59,39.5,94.7,NA,NA,"BallTouch","SecondHalf","Successful","José Gayà",505
119817,55,26,54.9,86.8,46.6,80.9,"Pass","FirstHalf","Successful","José Gayà",189
119817,55,47,71.4,96.4,63.8,92.3,"Pass","FirstHalf","Successful","José Gayà",374
119817,55,83,55.8,91.2,57.9,79.7,"Pass","SecondHalf","Successful","José Gayà",694
119817,55,75,38.8,92.9,32.3,75,"Pass","SecondHalf","Successful","José Gayà",632
119817,55,29,94.5,88.5,95.7,55.8,"Pass","FirstHalf","Successful","José Gayà",292
119817,55,83,37.4,92.4,28.6,91.8,"Pass","SecondHalf","Successful","José Gayà",682
119817,55,47,42.9,94.3,36,65,"Pass","FirstHalf","Successful","José Gayà",370
119817,55,34,31.3,94.1,54.9,94.9,"Pass","FirstHalf","Successful","José Gayà",271
119817,55,49,36.1,88.7,23.2,70.2,"Pass","FirstHalf","Successful","José Gayà",389
119817,55,60,69.2,85,73.1,75,"Pass","SecondHalf","Successful","José Gayà",518
119817,55,51,41.4,90.6,52.8,89.4,"Pass","SecondHalf","Unsuccessful","José Gayà",437
119817,55,44,67.9,86,NA,NA,"Foul","FirstHalf","Successful","José Gayà",339
119817,55,10,43.8,83.8,64.2,87.6,"Pass","FirstHalf","Successful","José Gayà",106
119817,55,69,26.5,98.2,25.1,89.6,"Pass","SecondHalf","Successful","José Gayà",596
119817,55,10,45.9,83.8,51.3,71.8,"Pass","FirstHalf","Successful","José Gayà",99
119817,55,30,74.2,100,54,90.8,"Pass","FirstHalf","Successful","José Gayà",240
