"playerid","teamId","minute","x","y","endX","endY","type","tempo","outcome","jogador","eventid"
17476,1241,4,32.3,48.4,29.8,63.9,"Pass","FirstHalf","Successful","Zé Rafael",46
17476,1241,18,45.6,30.2,28.1,19.5,"Pass","FirstHalf","Successful","Zé Rafael",183
17476,1241,78,55.3,69.1,46.9,47.9,"Pass","SecondHalf","Successful","Zé Rafael",761
17476,1241,0,47.1,56.3,63.1,30.9,"Pass","FirstHalf","Unsuccessful","Zé Rafael",4
17476,1241,63,69.2,76.1,78.1,92.2,"Pass","SecondHalf","Successful","Zé Rafael",611
17476,1241,19,53.8,48.1,54.8,73.9,"Pass","FirstHalf","Successful","Zé Rafael",192
17476,1241,13,34.9,23.3,NA,NA,"Foul","FirstHalf","Unsuccessful","Zé Rafael",140
17476,1241,4,41.6,31.5,24.7,34.4,"Pass","FirstHalf","Successful","Zé Rafael",36
17476,1241,81,36.8,90.8,61.2,87.9,"Pass","SecondHalf","Successful","Zé Rafael",792
17476,1241,49,34.4,37.5,39.2,70.4,"Pass","SecondHalf","Successful","Zé Rafael",471
17476,1241,44,12.4,55.6,NA,NA,"Aerial","FirstHalf","Unsuccessful","Zé Rafael",364
17476,1241,63,82.7,91.1,NA,NA,"Dispossessed","SecondHalf","Successful","Zé Rafael",613
17476,1241,46,47.2,43.4,58.9,16.3,"Pass","FirstHalf","Successful","Zé Rafael",374
17476,1241,52,74.2,86.3,68.5,88.9,"Pass","SecondHalf","Successful","Zé Rafael",501
17476,1241,61,71.5,19.3,69.1,33.1,"Pass","SecondHalf","Successful","Zé Rafael",968
17476,1241,67,52.1,74.3,49,65.1,"Pass","SecondHalf","Successful","Zé Rafael",647
17476,1241,75,35.8,74.4,NA,NA,"Foul","SecondHalf","Successful","Zé Rafael",739
17476,1241,6,55.8,23.1,52.9,11.6,"Pass","FirstHalf","Unsuccessful","Zé Rafael",77
17476,1241,63,62.9,86.2,62.6,71.5,"Pass","SecondHalf","Successful","Zé Rafael",609
17476,1241,80,42.2,76.1,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Zé Rafael",790
17476,1241,80,57.1,69.8,83.9,52.7,"Pass","SecondHalf","Unsuccessful","Zé Rafael",782
17476,1241,56,60.5,65.7,56.4,53.2,"Pass","SecondHalf","Successful","Zé Rafael",551
17476,1241,25,65,67.1,NA,NA,"Foul","FirstHalf","Unsuccessful","Zé Rafael",252
17476,1241,11,59.4,74.4,65.1,93.6,"Pass","FirstHalf","Successful","Zé Rafael",120
17476,1241,79,55.7,64,67.6,91.5,"Pass","SecondHalf","Successful","Zé Rafael",775
17476,1241,11,61.9,85,NA,NA,"Foul","FirstHalf","Successful","Zé Rafael",122
17476,1241,53,79.4,62,NA,NA,"Foul","SecondHalf","Unsuccessful","Zé Rafael",527
17476,1241,52,59,92.9,NA,NA,"Interception","SecondHalf","Successful","Zé Rafael",504
17476,1241,19,53.8,48.1,NA,NA,"BallRecovery","FirstHalf","Successful","Zé Rafael",191
17476,1241,58,40.8,32.9,34.4,58.1,"Pass","SecondHalf","Successful","Zé Rafael",558
17476,1241,24,69.7,73.9,90.8,90.4,"OffsidePass","FirstHalf","Successful","Zé Rafael",236
17476,1241,49,31.3,34.1,NA,NA,"BallRecovery","SecondHalf","Successful","Zé Rafael",470
17476,1241,81,55.8,85,53.5,54.9,"Pass","SecondHalf","Successful","Zé Rafael",796
17476,1241,5,51,52.7,58,66,"Pass","FirstHalf","Successful","Zé Rafael",58
17476,1241,33,36,88.6,NA,NA,"Foul","FirstHalf","Unsuccessful","Zé Rafael",317
17476,1241,5,53.6,70.5,46.2,75,"Pass","FirstHalf","Successful","Zé Rafael",60
17476,1241,51,68.1,80.3,71.8,72.6,"Pass","SecondHalf","Successful","Zé Rafael",499
17476,1241,28,47.2,83.6,59.3,95.5,"Pass","FirstHalf","Successful","Zé Rafael",281
17476,1241,5,81.4,83.1,95,87.9,"Pass","FirstHalf","Successful","Zé Rafael",53
17476,1241,10,12.6,38.6,NA,NA,"Foul","FirstHalf","Successful","Zé Rafael",110
17476,1241,12,53.4,78.1,61.2,80.4,"Pass","FirstHalf","Successful","Zé Rafael",960
17476,1241,31,65,87.3,NA,NA,"Foul","FirstHalf","Successful","Zé Rafael",307
17476,1241,0,37.5,61.1,25.5,88.8,"Pass","FirstHalf","Successful","Zé Rafael",8
17476,1241,67,41,62.9,55.9,93.2,"Pass","SecondHalf","Successful","Zé Rafael",645
17476,1241,24,66.6,76.4,NA,NA,"TakeOn","FirstHalf","Successful","Zé Rafael",235
17476,1241,50,46.3,42.6,48.5,80.6,"Pass","SecondHalf","Successful","Zé Rafael",481
17476,1241,60,52.8,25.8,NA,NA,"Tackle","SecondHalf","Successful","Zé Rafael",580
17476,1241,60,57.2,18.9,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Zé Rafael",588
17476,1241,46,47.2,43.4,NA,NA,"BallRecovery","FirstHalf","Successful","Zé Rafael",373
17476,1241,52,58.2,70.8,53.8,53.5,"Pass","SecondHalf","Successful","Zé Rafael",509
17476,1241,8,67.4,71.3,73.7,46,"Pass","FirstHalf","Unsuccessful","Zé Rafael",93
17476,1241,14,32.6,65,33.9,32.4,"Pass","FirstHalf","Successful","Zé Rafael",146
17476,1241,65,64.9,33.5,65.6,30.7,"Pass","SecondHalf","Unsuccessful","Zé Rafael",622
17476,1241,13,35.3,29.2,NA,NA,"BallTouch","FirstHalf","Unsuccessful","Zé Rafael",139
17476,1241,14,47,51.6,54.4,90.1,"Pass","FirstHalf","Successful","Zé Rafael",149
17476,1241,73,72.1,62.2,60.2,72.9,"Pass","SecondHalf","Successful","Zé Rafael",713
17476,1241,47,75.8,90.8,NA,NA,"BallTouch","SecondHalf","Unsuccessful","Zé Rafael",554
17476,1241,50,71.9,54.6,69.1,43.6,"Pass","SecondHalf","Successful","Zé Rafael",484
17476,1241,12,59.2,75.8,67.2,93.6,"Pass","FirstHalf","Successful","Zé Rafael",124
17476,1241,75,30.3,51,45.8,25,"Pass","SecondHalf","Successful","Zé Rafael",729
17476,1241,84,13.5,82.2,8.3,89.8,"Pass","SecondHalf","Successful","Zé Rafael",820
17476,1241,48,39.7,73.3,32.7,59.5,"Pass","SecondHalf","Successful","Zé Rafael",461
17476,1241,75,75.3,63.1,74.4,47,"Pass","SecondHalf","Successful","Zé Rafael",734
17476,1241,79,34.3,64.8,39.3,45.9,"Pass","SecondHalf","Successful","Zé Rafael",772
17476,1241,20,38.5,82,NA,NA,"BallTouch","FirstHalf","Successful","Zé Rafael",199
17476,1241,73,53.4,47.8,47.8,23.1,"Pass","SecondHalf","Successful","Zé Rafael",721
17476,1241,46,8.5,68.8,31.1,71.5,"Clearance","SecondHalf","Successful","Zé Rafael",441
17476,1241,85,0,0,NA,NA,"SubstitutionOff","SecondHalf","Successful","Zé Rafael",823
17476,1241,82,0,0,NA,NA,"Card","SecondHalf","Successful","Zé Rafael",808
17476,1241,15,72.7,80.1,74.9,64.2,"Pass","FirstHalf","Successful","Zé Rafael",157
17476,1241,16,74.7,49.3,NA,NA,"MissedShots","FirstHalf","Successful","Zé Rafael",175
17476,1241,25,68.5,64.5,64.2,71.8,"Pass","FirstHalf","Successful","Zé Rafael",251
17476,1241,59,75.4,56.9,85.1,41.9,"Pass","SecondHalf","Successful","Zé Rafael",575
17476,1241,33,60.8,72.9,73.8,71.8,"Pass","FirstHalf","Unsuccessful","Zé Rafael",312
17476,1241,72,46.6,74.6,NA,NA,"Foul","SecondHalf","Successful","Zé Rafael",706
17476,1241,46,10,54,33.8,49.6,"Clearance","SecondHalf","Successful","Zé Rafael",435
17476,1241,59,45,27.6,47.8,26.8,"Pass","SecondHalf","Unsuccessful","Zé Rafael",574
17476,1241,56,74.6,86.7,NA,NA,"BlockedPass","SecondHalf","Successful","Zé Rafael",543
17476,1241,65,78.3,58.9,NA,NA,"SavedShot","SecondHalf","Successful","Zé Rafael",629
